,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO
ADANIENT,1.0,0.712385724045564,0.24319279068334562,0.1052834631413849,0.33312919271792757,0.2673304827290018,0.16214689449187894,-0.06477470795518801,0.2768106039027351,0.1577142352735083,0.4079360390403331,0.1809274631193593,0.13722635184481313,0.4276513742666959,0.2750100246742523,0.1808418415487646,0.14647403464700148,0.2764243704670609,0.1804831984080781,0.20671181725843338,0.47118827315435036,0.1391588159103811,0.061023900313138736,0.149319003451451,0.15781139559390286,0.23978326590842047,-0.024978952893976704,0.3497449992282977,0.4593130188051634,0.6237124369696705,0.21120138446983788,0.23353657455232973,0.14499319909190908,0.4613016660010384,0.20539542168983524,0.26079166831344686,0.48597200515737166,0.19473000540827307,0.18358958206579945,0.10675424561726839,0.18891298260683864,0.3312956916505904,0.36334492903331067,0.43456921241273616,0.2770331437685857,0.1463422968901274,0.381902678644066,0.14339986299926322,0.34080810110292886,0.3056135072746969
ADANIPORTS,0.712385724045564,1.0,0.6459427126080358,-0.13514682843813017,0.5022963632648493,0.6293174078011946,0.23135661180709868,-0.2836002162212398,0.6963834404080677,0.5930772067646383,0.746380453247494,0.43117805645768725,0.5455359302933311,0.7645322029610272,0.6516719956077087,0.5626533823796592,0.6547546960266823,0.532568815207472,0.253743375025139,0.46432284887172237,0.6720913775452326,0.2948140285516561,0.07979479015577068,0.6443583346479874,-0.2172412536636033,0.47858252606752993,0.15741293911365853,0.5642866628755937,0.27479644408358633,0.6858870829175646,0.5449060741823928,0.5472457040847852,-0.041495592996966625,0.8284589450451767,0.6662704996329933,0.7688910968665117,0.643785515051338,0.5574231627463172,0.5787653492405501,0.6004315346730291,0.6231878972743273,0.31589815656300035,0.6677162305063318,0.5309716338410703,0.5072862414847803,0.5082637566046436,0.12308411684276663,0.5793353475424089,0.678525297946975,0.5290959292858062
APOLLOHOSP,0.24319279068334562,0.6459427126080358,1.0,-0.25730857273086877,0.19784664362567153,0.7355153319935698,0.46578269077738327,-0.28669108114774083,0.5250793230145726,0.720860627385134,0.7449496663415532,0.4662379877589647,0.765903186641543,0.6319148389232865,0.7234007536299364,0.5625650535661317,0.6350011461971841,0.8189778640973988,0.1632891696308317,0.6160736247047407,0.5216423165250396,0.33498940439999203,0.04602844598380302,0.700440201484945,-0.5311449863440156,0.6581918813639254,0.3369159157642753,0.6150031992946384,0.10215997602461552,0.44053545084056794,0.49183483288605123,0.49049185073684914,-0.28985703243788896,0.7860857299107291,0.6537739004306296,0.6709119934374863,0.30535958610859265,0.6628033039722458,0.5070474654260424,0.7965585876209821,0.8744409147392803,0.06516363800869333,0.45889288111924154,0.28971173832962327,0.5925477984580712,0.7195233372526341,0.011165486167354367,0.707529424646816,0.5813082534614764,0.5780469608372291
ASIANPAINT,0.1052834631413849,-0.13514682843813017,-0.25730857273086877,1.0,0.07347081593218949,-0.19896020210960835,0.3653702700351692,0.5612426209212847,-0.3126554764137972,-0.3333261829640003,-0.2654228681418309,0.2719749790811367,-0.35787615946732854,-0.16154326607761554,-0.10188777668209921,-0.14182840069010688,-0.19131978943021413,-0.17983027982427138,0.24437461924788578,0.24132773600594518,-0.052943065496467594,-0.013832502179970731,0.5867421667235692,-0.4015654743892498,0.6607287267446016,0.002328119022605789,0.5522873931071425,-0.14503203019467692,0.408419726206356,0.07832275848891176,-0.3560105874497134,-0.2922822219765915,0.5661318549766327,-0.18551402294802213,-0.3095985439613417,-0.41449779676639026,-0.028275877935922417,0.21665205689733497,-0.5987093322379029,-0.20803658270845016,-0.3264467140871028,0.4503258876650531,-0.05843821109956699,-0.27656428740945466,0.02223914364135913,-0.18604669981029082,0.6112706267699739,-0.22303296823174892,0.031901015754992934,-0.3319311475912176
AXISBANK,0.33312919271792757,0.5022963632648493,0.19784664362567153,0.07347081593218949,1.0,0.36780828812737365,0.2140915190871938,0.034533929698499916,0.6846569087754292,0.441217639354477,0.25031237790423494,0.5767969419727426,0.16032236484942566,0.3542958196180853,0.25425143591129956,0.6376262984619316,0.644846907221613,0.1587690706609269,0.605939288817952,0.1502436912578047,0.5948999749661477,0.6039026272360007,0.25868215739474715,0.5693245722858984,-0.0783397423174773,0.16860675102389086,0.08848130989054764,0.6278035652939422,0.37215727845565333,0.3998481639729882,0.5836755564672698,0.1650608212964357,0.21430977049838942,0.4393207537682347,0.07532986583397526,0.4758127941729025,0.39762350276256175,0.20434467289095243,0.39100671641887014,0.3492154752136126,0.10943794485923851,0.06279389737278873,0.13505783019001133,0.49506900258195186,0.02355834520147087,0.4152281794088713,-0.008851581175497053,0.5168864096636051,0.7138620765139598,0.47549783269682094
BAJAJ-AUTO,0.2673304827290018,0.6293174078011946,0.7355153319935698,-0.19896020210960835,0.36780828812737365,1.0,0.6049979252571822,-0.12012619165567147,0.5995050759275103,0.8824504322645075,0.774439657519277,0.6238765299192967,0.8309019713638596,0.7096096735265096,0.5221212935188889,0.6603362460630827,0.7181563698477332,0.6471168267294058,0.10945324409126166,0.40836978741013397,0.7489724094221879,0.5804902726540513,0.2534552819646798,0.7375604369240252,-0.33014365701762655,0.5170071244042952,0.2935386594866598,0.7390200159078728,0.047042707852370566,0.3600132029970014,0.7277985688192061,0.767413922117951,-0.026779494656988662,0.8041646219475419,0.585466764305217,0.7347645608778388,0.3608686416429906,0.6771451680694348,0.5768383242985988,0.8585095767702359,0.8467092030747098,0.20385184026495778,0.5452423743551368,0.6087254006541946,0.503569204700577,0.6230613970601161,0.15535797899335685,0.8871382259160865,0.5575478233670133,0.4350628090767065
BAJAJFINSV,0.16214689449187894,0.23135661180709868,0.46578269077738327,0.3653702700351692,0.2140915190871938,0.6049979252571822,1.0,0.44847931542825564,0.11078799419651729,0.42515724466552746,0.32269888050854484,0.47907256914063506,0.33655531163590563,0.18297161918896918,0.2679385676004079,0.33411933928303444,0.38162929062278517,0.5322863606030331,0.28674049277490704,0.5637754371448942,0.3036059300311766,0.3865389673721094,0.36935354141907867,0.37689987428855515,0.05448287012274429,0.46156961912256556,0.6180207899928649,0.5482491395451559,0.30883501762115767,0.3422697212443002,0.21977136942818035,0.31133806745725623,0.2235942017002026,0.43015486255564545,0.11023296500442553,0.11558855987287188,0.06066372502114597,0.6641719205105902,-0.01137928558689593,0.5715326672049353,0.4802432041265312,0.18538327971656643,0.19737684474238595,0.19815102433798806,0.45782521055787323,0.4461327653438849,0.5310572998723506,0.5032117081336125,0.2823973389572124,0.2518199070998897
BAJFINANCE,-0.06477470795518801,-0.2836002162212398,-0.28669108114774083,0.5612426209212847,0.034533929698499916,-0.12012619165567147,0.44847931542825564,1.0,-0.14314919346303362,-0.17122437845715976,-0.563796128832188,0.03801250417070562,-0.31076881970898257,-0.502170706901388,-0.34019010285508294,-0.1663324121877044,-0.09224328832008596,-0.20584676330478707,0.35494340975611505,0.03801495709927801,-0.19524887922096526,0.1752516850495122,0.22880665233140948,-0.2046922973495534,0.3984303605292361,-0.1259309532301841,0.2938936472044499,0.09329808613041432,0.4081659050013321,0.0567464083743189,-0.10987900395669496,-0.10740162846638918,0.27489965190046667,-0.33803884427954317,-0.5120782994902805,-0.5170975296700832,-0.1252855362266751,-0.11643949879794777,-0.4182060569690754,-0.10279829232056172,-0.3376348041296757,-0.10689944195055333,-0.3720671264555991,0.06717636454536333,-0.14875519754518818,-0.055986501570479616,0.28894464724471547,-0.23213910356848969,-0.10068497031459996,-0.13705645443201142
BEL,0.2768106039027351,0.6963834404080677,0.5250793230145726,-0.3126554764137972,0.6846569087754292,0.5995050759275103,0.11078799419651729,-0.14314919346303362,1.0,0.7662863216171265,0.4480023840476058,0.5409477839048843,0.5751027719576987,0.5430170821119964,0.5050080746816215,0.7205230977147931,0.8226346952227525,0.40468226298200916,0.5023150683610839,0.3382237747682164,0.5987450574875091,0.5652609073207022,0.14892588172819968,0.8350020163444747,-0.5247617469259125,0.38199795623686944,0.13549765938191483,0.7280041638789855,0.17945170606243138,0.48970755072120037,0.8762953851638112,0.5295958584815846,-0.22349694145726418,0.6938098237946454,0.45668866153830945,0.7832887416496057,0.41044100231128783,0.3412030342903439,0.7857404964575319,0.6417017986882981,0.5093010656195266,-0.08122717193167782,0.29746775679109105,0.6268709912685457,0.2626990834485158,0.6754284271887468,-0.33828884859823155,0.6912985211160172,0.7506020796204522,0.6260093915324111
BHARTIARTL,0.1577142352735083,0.5930772067646383,0.720860627385134,-0.3333261829640003,0.441217639354477,0.8824504322645075,0.42515724466552746,-0.17122437845715976,0.7662863216171265,1.0,0.6535429669307707,0.6754463623616982,0.8086893352746068,0.612203043491445,0.5571546035911514,0.7633623361985744,0.8234959005225247,0.5961173593541206,0.24038011843085377,0.3734292430453893,0.6993282563397699,0.6748963833252538,0.259286871471176,0.8656548361779357,-0.6329328598838847,0.5872161146669526,0.3210829589211133,0.798590386342111,-0.06352258478996671,0.23727160134243022,0.8859714345636633,0.6689189832251444,-0.3312546340218861,0.8050571693716525,0.5604692020579548,0.8197526688686974,0.2258503936647221,0.5460424728136217,0.7134695725440025,0.8745197921383705,0.8027522608129799,-0.0756545523992511,0.3424747782416616,0.5858779850381465,0.47335803795091413,0.8185306534044997,-0.22467994511078399,0.9003802047416438,0.611934818132064,0.5539159694195442
