Month,Stock,monthly_return,Stock_Rank,Type
2023-10-01,NESTLEIND,8.602208360220837,1,Top Gainer
2023-10-01,COALINDIA,7.65673175745119,2,Top Gainer
2023-10-01,BAJAJ-AUTO,5.932482133779872,3,Top Gainer
2023-10-01,SBILIFE,5.833881388061423,4,Top Gainer
2023-10-01,TRENT,4.642805109028212,5,Top Gainer
2023-11-01,TRENT,26.817282096785195,1,Top Gainer
2023-11-01,HEROMOTOCO,23.495933644844715,2,Top Gainer
2023-11-01,BPCL,22.07901372933595,3,Top Gainer
2023-11-01,EICHERMOT,18.72648335745297,4,Top Gainer
2023-11-01,APOLLOHOSP,15.269308148565106,5,Top Gainer
2023-12-01,BEL,24.923702950152595,1,Top Gainer
2023-12-01,ADANIPORTS,23.74365788837883,2,Top Gainer
2023-12-01,ADANIENT,20.580268337071995,3,Top Gainer
2023-12-01,HINDALCO,18.88051044083526,4,Top Gainer
2023-12-01,ULTRACEMCO,16.262722980788915,5,Top Gainer
2024-01-01,ONGC,22.83905527148771,1,Top Gainer
2024-01-01,SHRIRAMFIN,20.399248358835457,2,Top Gainer
2024-01-01,BHARTIARTL,15.56191698336707,3,Top Gainer
2024-01-01,ADANIPORTS,15.250274371331791,4,Top Gainer
2024-01-01,BAJAJ-AUTO,14.422259032099204,5,Top Gainer
2024-02-01,TRENT,25.10635554982596,1,Top Gainer
2024-02-01,BPCL,18.762537859418643,2,Top Gainer
2024-02-01,M&M,17.03358265451352,3,Top Gainer
2024-02-01,SBIN,15.509920481741691,4,Top Gainer
2024-02-01,SUNPHARMA,12.074292410952092,5,Top Gainer
2024-03-01,BAJAJ-AUTO,13.7822525979316,1,Top Gainer
2024-03-01,BAJFINANCE,10.253444825723395,2,Top Gainer
2024-03-01,BHARTIARTL,8.85089040489057,3,Top Gainer
2024-03-01,MARUTI,8.427882402041137,4,Top Gainer
2024-03-01,HINDALCO,7.92718166056636,5,Top Gainer
2024-04-01,EICHERMOT,16.488667604170615,1,Top Gainer
