Month,Stock,monthly_return,Rank,Type
2023-10,NESTLEIND,8.602208360220837,1,Top Gainer
2023-10,COALINDIA,7.65673175745119,2,Top Gainer
2023-10,BAJAJ-AUTO,5.932482133779872,3,Top Gainer
2023-10,SBILIFE,5.833881388061423,4,Top Gainer
2023-10,TRENT,4.642805109028212,5,Top Gainer
2023-11,TRENT,26.817282096785195,1,Top Gainer
2023-11,HEROMOTOCO,23.495933644844715,2,Top Gainer
2023-11,BPCL,22.07901372933595,3,Top Gainer
2023-11,EICHERMOT,18.72648335745297,4,Top Gainer
2023-11,APOLLOHOSP,15.269308148565106,5,Top Gainer
2023-12,BEL,24.923702950152595,1,Top Gainer
2023-12,ADANIPORTS,23.74365788837883,2,Top Gainer
2023-12,ADANIENT,20.580268337071995,3,Top Gainer
2023-12,HINDALCO,18.88051044083526,4,Top Gainer
2023-12,ULTRACEMCO,16.262722980788915,5,Top Gainer
2024-01,ONGC,22.83905527148771,1,Top Gainer
2024-01,SHRIRAMFIN,20.399248358835457,2,Top Gainer
2024-01,BHARTIARTL,15.56191698336707,3,Top Gainer
2024-01,ADANIPORTS,15.250274371331793,4,Top Gainer
2024-01,BAJAJ-AUTO,14.422259032099205,5,Top Gainer
2024-02,TRENT,25.10635554982596,1,Top Gainer
2024-02,BPCL,18.762537859418643,2,Top Gainer
2024-02,M&M,17.03358265451352,3,Top Gainer
2024-02,SBIN,15.509920481741691,4,Top Gainer
2024-02,SUNPHARMA,12.074292410952093,5,Top Gainer
2024-03,BAJAJ-AUTO,13.782252597931599,1,Top Gainer
2024-03,BAJFINANCE,10.253444825723397,2,Top Gainer
2024-03,BHARTIARTL,8.85089040489057,3,Top Gainer
2024-03,MARUTI,8.427882402041137,4,Top Gainer
2024-03,HINDALCO,7.92718166056636,5,Top Gainer
2024-04,EICHERMOT,16.488667604170615,1,Top Gainer
2024-04,TRENT,13.458371925491392,2,Top Gainer
2024-04,HINDALCO,13.33098839254308,3,Top Gainer
2024-04,M&M,12.547300294892866,4,Top Gainer
2024-04,BEL,10.72951207958314,5,Top Gainer
2024-05,BEL,26.0702875399361,1,Top Gainer
