open,month,volume,high,Ticker,close,date,low
826.0,2023-10,2453090,836.75,ADANIPORTS,831.4,2023-10-03,824.25
830.95,2023-10,4096647,845.45,ADANIPORTS,824.6,2023-10-04,819.35
830.85,2023-10,2083505,832.0,ADANIPORTS,825.2,2023-10-05,820.25
830.0,2023-10,1877058,836.5,ADANIPORTS,830.75,2023-10-06,826.4
815.0,2023-10,5994282,818.8,ADANIPORTS,790.05,2023-10-09,785.0
800.55,2023-10,7591327,823.7,ADANIPORTS,819.5,2023-10-10,800.55
827.4,2023-10,3281387,827.4,ADANIPORTS,814.85,2023-10-11,812.35
818.55,2023-10,2563606,823.25,ADANIPORTS,814.95,2023-10-12,812.55
812.0,2023-10,3801000,824.8,ADANIPORTS,813.75,2023-10-13,805.85
818.5,2023-10,2664794,818.5,ADANIPORTS,805.65,2023-10-16,803.25
812.0,2023-10,2162192,814.4,ADANIPORTS,805.1,2023-10-17,804.0
808.95,2023-10,2271927,809.05,ADANIPORTS,798.6,2023-10-18,795.4
796.75,2023-10,2862500,797.3,ADANIPORTS,792.85,2023-10-19,787.45
791.8,2023-10,2434862,803.0,ADANIPORTS,793.65,2023-10-20,788.65
793.65,2023-10,2002377,795.8,ADANIPORTS,771.45,2023-10-23,769.9
772.5,2023-10,2581498,783.35,ADANIPORTS,769.1,2023-10-25,761.05
764.0,2023-10,3855358,771.8,ADANIPORTS,770.35,2023-10-26,754.5
774.9,2023-10,2995404,786.4,ADANIPORTS,782.4,2023-10-27,773.05
785.9,2023-10,3522068,794.4,ADANIPORTS,785.0,2023-10-30,779.8
789.8,2023-10,2825760,791.1,ADANIPORTS,784.75,2023-10-31,782.5
784.75,2023-11,2693768,790.5,ADANIPORTS,769.1,2023-11-01,767.2
776.9,2023-11,1741799,783.5,ADANIPORTS,774.3,2023-11-02,772.05
780.0,2023-11,4310765,798.8,ADANIPORTS,795.4,2023-11-03,777.3
801.5,2023-11,2270316,806.25,ADANIPORTS,802.5,2023-11-06,799.3
803.0,2023-11,2394891,808.4,ADANIPORTS,797.55,2023-11-07,796.0
802.0,2023-11,5123208,823.8,ADANIPORTS,818.7,2023-11-08,800.05
825.0,2023-11,4982049,827.7,ADANIPORTS,806.2,2023-11-09,798.1
808.0,2023-11,3903183,818.8,ADANIPORTS,808.6,2023-11-10,806.2
816.7,2023-11,265239,816.7,ADANIPORTS,812.25,2023-11-12,811.0
810.0,2023-11,1050882,828.0,ADANIPORTS,809.85,2023-11-13,807.5
818.0,2023-11,1694698,818.0,ADANIPORTS,810.75,2023-11-15,809.05
814.4,2023-11,1689762,818.4,ADANIPORTS,813.6,2023-11-16,808.1
811.7,2023-11,3218979,821.95,ADANIPORTS,810.05,2023-11-17,809.05
810.05,2023-11,3227659,816.0,ADANIPORTS,803.6,2023-11-20,801.1
805.0,2023-11,3643664,814.9,ADANIPORTS,801.35,2023-11-21,799.3
804.0,2023-11,3212329,804.95,ADANIPORTS,791.9,2023-11-22,788.55
795.0,2023-11,3776615,804.7,ADANIPORTS,793.1,2023-11-23,791.45
795.9,2023-11,4421350,802.95,ADANIPORTS,795.55,2023-11-24,785.0
806.0,2023-11,15929818,854.4,ADANIPORTS,837.7,2023-11-28,806.0
850.0,2023-11,8057644,850.0,ADANIPORTS,835.55,2023-11-29,833.3
839.0,2023-11,5998210,839.0,ADANIPORTS,825.5,2023-11-30,823.0
839.2,2023-12,2932775,839.2,ADANIPORTS,827.8,2023-12-01,825.5
865.0,2023-12,11064795,883.35,ADANIPORTS,878.65,2023-12-04,858.5
884.0,2023-12,46564412,1024.3,ADANIPORTS,1013.1,2023-12-05,880.0
1045.0,2023-12,41008947,1082.5,ADANIPORTS,1017.95,2023-12-06,1008.1
1029.0,2023-12,14840081,1058.75,ADANIPORTS,1039.65,2023-12-07,1021.65
1048.0,2023-12,12202462,1055.0,ADANIPORTS,1022.95,2023-12-08,992.3
1026.8,2023-12,7889666,1048.0,ADANIPORTS,1031.9,2023-12-11,1015.65
1037.05,2023-12,4902289,1048.45,ADANIPORTS,1041.95,2023-12-12,1023.25
1045.0,2023-12,8151639,1075.0,ADANIPORTS,1063.5,2023-12-13,1028.8
1080.0,2023-12,8004131,1089.9,ADANIPORTS,1074.7,2023-12-14,1063.0
1079.0,2023-12,11672787,1086.5,ADANIPORTS,1078.55,2023-12-15,1067.05
1079.0,2023-12,5448342,1102.4,ADANIPORTS,1094.3,2023-12-18,1072.75
1095.0,2023-12,5993252,1099.0,ADANIPORTS,1074.0,2023-12-19,1068.6
1078.0,2023-12,8467564,1083.85,ADANIPORTS,1012.15,2023-12-20,1005.0
996.15,2023-12,5352057,1028.0,ADANIPORTS,1018.95,2023-12-21,989.25
1034.0,2023-12,5252106,1050.95,ADANIPORTS,1027.5,2023-12-22,1019.0
1034.1,2023-12,2176775,1041.0,ADANIPORTS,1028.75,2023-12-26,1026.1
1037.0,2023-12,2803997,1037.05,ADANIPORTS,1024.4,2023-12-27,1018.0
1029.55,2023-12,4865603,1031.2,ADANIPORTS,1016.95,2023-12-28,1014.65
1021.8,2023-12,2429250,1034.9,ADANIPORTS,1024.35,2023-12-29,1017.6
1026.55,2024-01,3989711,1057.95,ADANIPORTS,1047.85,2024-01-01,1023.0
1047.85,2024-01,6344621,1082.9,ADANIPORTS,1078.4,2024-01-02,1031.1
1105.0,2024-01,33060778,1144.0,ADANIPORTS,1094.25,2024-01-03,1062.75
1117.0,2024-01,9771995,1131.0,ADANIPORTS,1123.2,2024-01-04,1103.55
1129.1,2024-01,10622789,1160.0,ADANIPORTS,1154.25,2024-01-05,1125.4
1160.0,2024-01,8760094,1182.0,ADANIPORTS,1168.85,2024-01-08,1152.0
1182.0,2024-01,14701104,1229.9,ADANIPORTS,1197.1,2024-01-09,1178.5
1220.0,2024-01,7036728,1220.0,ADANIPORTS,1214.35,2024-01-10,1197.0
1221.0,2024-01,3721202,1223.6,ADANIPORTS,1202.95,2024-01-11,1200.0
1210.4,2024-01,3912779,1218.75,ADANIPORTS,1207.1,2024-01-12,1201.05
1214.0,2024-01,2825654,1215.35,ADANIPORTS,1203.1,2024-01-15,1189.1
1203.6,2024-01,3173587,1212.0,ADANIPORTS,1193.35,2024-01-16,1186.8
1180.0,2024-01,5268593,1204.7,ADANIPORTS,1166.85,2024-01-17,1159.45
1171.05,2024-01,5918594,1184.3,ADANIPORTS,1154.05,2024-01-18,1143.45
