open,month,volume,high,Ticker,close,date,low
3166.1,2023-10,1219145,3227.8,ASIANPAINT,3166.85,2023-10-03,3162.0
3164.95,2023-10,892584,3189.0,ASIANPAINT,3169.9,2023-10-04,3151.35
3210.0,2023-10,1002610,3232.1,ASIANPAINT,3206.25,2023-10-05,3174.3
3214.75,2023-10,814257,3217.0,ASIANPAINT,3195.75,2023-10-06,3190.0
3140.05,2023-10,700012,3163.0,ASIANPAINT,3152.8,2023-10-09,3132.7
3150.0,2023-10,847367,3164.9,ASIANPAINT,3151.5,2023-10-10,3140.05
3169.0,2023-10,1025317,3185.0,ASIANPAINT,3163.9,2023-10-11,3152.05
3186.0,2023-10,992531,3188.5,ASIANPAINT,3159.1,2023-10-12,3150.05
3150.0,2023-10,854688,3172.0,ASIANPAINT,3148.8,2023-10-13,3128.25
3124.0,2023-10,853011,3128.0,ASIANPAINT,3112.05,2023-10-16,3096.1
3137.0,2023-10,792640,3137.0,ASIANPAINT,3113.55,2023-10-17,3091.8
3110.0,2023-10,481985,3115.2,ASIANPAINT,3096.45,2023-10-18,3090.0
3087.7,2023-10,568124,3110.9,ASIANPAINT,3101.8,2023-10-19,3076.1
3092.5,2023-10,711434,3115.1,ASIANPAINT,3105.85,2023-10-20,3064.55
3096.05,2023-10,374476,3108.9,ASIANPAINT,3072.0,2023-10-23,3064.0
3093.4,2023-10,669290,3108.0,ASIANPAINT,3060.8,2023-10-25,3052.0
3051.1,2023-10,1834111,3055.0,ASIANPAINT,2960.3,2023-10-26,2940.0
2932.8,2023-10,1708185,2974.65,ASIANPAINT,2955.15,2023-10-27,2931.0
2974.0,2023-10,878885,2991.95,ASIANPAINT,2967.1,2023-10-30,2939.1
2969.0,2023-10,1152306,3012.75,ASIANPAINT,2995.7,2023-10-31,2966.0
2997.95,2023-11,1029990,3008.9,ASIANPAINT,2934.55,2023-11-01,2930.0
2961.05,2023-11,900125,2962.0,ASIANPAINT,2955.4,2023-11-02,2934.0
2957.0,2023-11,715997,2982.9,ASIANPAINT,2977.85,2023-11-03,2942.0
2998.0,2023-11,620959,3034.05,ASIANPAINT,3029.3,2023-11-06,2983.85
3029.3,2023-11,757998,3038.95,ASIANPAINT,3033.35,2023-11-07,3002.2
3058.0,2023-11,783400,3098.95,ASIANPAINT,3095.25,2023-11-08,3046.2
3100.0,2023-11,849702,3111.4,ASIANPAINT,3080.2,2023-11-09,3074.05
3070.0,2023-11,364232,3085.0,ASIANPAINT,3076.45,2023-11-10,3040.1
3099.95,2023-11,85178,3100.0,ASIANPAINT,3098.15,2023-11-12,3090.0
3098.0,2023-11,405941,3098.0,ASIANPAINT,3085.6,2023-11-13,3065.0
3085.7,2023-11,700017,3118.85,ASIANPAINT,3116.2,2023-11-15,3078.7
3119.0,2023-11,675454,3140.9,ASIANPAINT,3130.3,2023-11-16,3097.6
3150.0,2023-11,1430175,3228.25,ASIANPAINT,3168.9,2023-11-17,3145.65
3168.9,2023-11,406431,3171.9,ASIANPAINT,3140.35,2023-11-20,3132.0
3156.9,2023-11,409069,3156.9,ASIANPAINT,3133.25,2023-11-21,3127.0
3140.0,2023-11,489889,3157.0,ASIANPAINT,3133.0,2023-11-22,3121.2
3148.0,2023-11,792460,3171.4,ASIANPAINT,3122.95,2023-11-23,3115.15
3118.0,2023-11,756329,3139.8,ASIANPAINT,3136.15,2023-11-24,3111.0
3141.15,2023-11,647883,3160.0,ASIANPAINT,3148.35,2023-11-28,3136.15
3148.35,2023-11,620725,3170.0,ASIANPAINT,3148.35,2023-11-29,3142.0
3148.35,2023-11,1793116,3153.95,ASIANPAINT,3119.9,2023-11-30,3108.35
3146.95,2023-12,960196,3190.6,ASIANPAINT,3173.4,2023-12-01,3140.25
3190.0,2023-12,1018189,3204.45,ASIANPAINT,3194.55,2023-12-04,3166.5
3197.0,2023-12,1005550,3247.65,ASIANPAINT,3226.25,2023-12-05,3180.0
3265.0,2023-12,1229158,3289.0,ASIANPAINT,3252.55,2023-12-06,3232.95
3284.0,2023-12,1071725,3299.95,ASIANPAINT,3251.8,2023-12-07,3246.85
3255.0,2023-12,895852,3269.8,ASIANPAINT,3232.0,2023-12-08,3227.8
3230.0,2023-12,910426,3245.0,ASIANPAINT,3233.0,2023-12-11,3185.5
3228.0,2023-12,1019030,3257.05,ASIANPAINT,3224.75,2023-12-12,3210.0
3240.0,2023-12,1052079,3254.95,ASIANPAINT,3243.65,2023-12-13,3190.3
3255.0,2023-12,923107,3258.6,ASIANPAINT,3241.35,2023-12-14,3218.0
3250.0,2023-12,1631687,3326.35,ASIANPAINT,3313.9,2023-12-15,3242.0
3313.0,2023-12,911936,3335.8,ASIANPAINT,3332.05,2023-12-18,3296.0
3335.95,2023-12,780448,3353.9,ASIANPAINT,3336.05,2023-12-19,3300.15
