open,month,volume,high,Ticker,close,date,low
7780.8,2023-10,944555,7975.5,BAJFINANCE,7967.6,2023-10-03,7755.0
8025.0,2023-10,1176384,8043.0,BAJFINANCE,7854.05,2023-10-04,7820.0
7914.85,2023-10,795061,7914.85,BAJFINANCE,7850.9,2023-10-05,7826.9
7850.0,2023-10,2145034,8192.0,BAJFINANCE,8168.55,2023-10-06,7845.0
8102.05,2023-10,747800,8135.0,BAJFINANCE,8027.7,2023-10-09,8018.0
8055.0,2023-10,965024,8135.0,BAJFINANCE,8083.6,2023-10-10,8021.0
8139.8,2023-10,712372,8173.0,BAJFINANCE,8101.95,2023-10-11,8095.45
8125.0,2023-10,764092,8127.0,BAJFINANCE,8014.3,2023-10-12,8003.0
7999.55,2023-10,662282,8082.9,BAJFINANCE,8051.65,2023-10-13,7956.05
8044.3,2023-10,438246,8069.0,BAJFINANCE,8036.0,2023-10-16,7982.65
8080.0,2023-10,838283,8159.0,BAJFINANCE,8093.0,2023-10-17,8057.55
8050.0,2023-10,1544642,8084.6,BAJFINANCE,7866.55,2023-10-18,7850.0
7843.3,2023-10,1061453,7923.0,BAJFINANCE,7841.55,2023-10-19,7731.0
7810.0,2023-10,771153,7832.35,BAJFINANCE,7769.2,2023-10-20,7722.5
7800.0,2023-10,882230,7884.9,BAJFINANCE,7798.9,2023-10-23,7761.35
7798.9,2023-10,708774,7856.95,BAJFINANCE,7694.45,2023-10-25,7676.0
7625.1,2023-10,1324630,7656.0,BAJFINANCE,7421.8,2023-10-26,7401.2
7509.95,2023-10,911944,7549.0,BAJFINANCE,7507.2,2023-10-27,7416.6
7505.8,2023-10,799276,7526.85,BAJFINANCE,7503.05,2023-10-30,7352.5
7569.8,2023-10,749410,7579.7,BAJFINANCE,7492.65,2023-10-31,7460.5
7520.0,2023-11,462778,7549.0,BAJFINANCE,7471.9,2023-11-01,7457.65
7530.0,2023-11,855030,7615.0,BAJFINANCE,7449.1,2023-11-02,7411.2
7528.0,2023-11,1138755,7537.95,BAJFINANCE,7411.5,2023-11-03,7372.45
7456.0,2023-11,634043,7571.95,BAJFINANCE,7562.05,2023-11-06,7442.6
7640.0,2023-11,1563007,7640.0,BAJFINANCE,7495.6,2023-11-07,7446.0
7527.0,2023-11,916717,7536.0,BAJFINANCE,7459.95,2023-11-08,7406.65
7485.0,2023-11,771791,7485.0,BAJFINANCE,7386.7,2023-11-09,7366.7
7370.0,2023-11,496261,7454.0,BAJFINANCE,7444.8,2023-11-10,7346.45
7470.05,2023-11,79745,7498.0,BAJFINANCE,7456.9,2023-11-12,7447.05
7447.8,2023-11,732240,7450.0,BAJFINANCE,7360.85,2023-11-13,7319.0
7439.4,2023-11,1923440,7476.2,BAJFINANCE,7224.3,2023-11-15,7119.15
6944.55,2023-11,4557043,7380.7,BAJFINANCE,7362.45,2023-11-16,6931.25
7140.5,2023-11,2080034,7260.0,BAJFINANCE,7221.0,2023-11-17,7108.05
7151.0,2023-11,1902940,7239.0,BAJFINANCE,7068.6,2023-11-20,7050.1
7085.0,2023-11,1666225,7128.85,BAJFINANCE,7103.15,2023-11-21,7030.0
7086.45,2023-11,1041404,7177.85,BAJFINANCE,7128.35,2023-11-22,7065.5
