open,month,volume,high,Ticker,close,date,low
137.9,2023-10,19010910,140.6,BEL,139.2,2023-10-03,137.2
138.0,2023-10,14912053,139.15,BEL,138.85,2023-10-04,136.55
139.5,2023-10,15996620,141.35,BEL,138.95,2023-10-05,138.1
139.0,2023-10,4987359,140.5,BEL,139.0,2023-10-06,138.65
136.2,2023-10,10489249,137.6,BEL,135.75,2023-10-09,135.05
137.4,2023-10,15593722,141.0,BEL,139.95,2023-10-10,136.5
139.95,2023-10,10778916,140.5,BEL,137.75,2023-10-11,137.5
137.95,2023-10,7567439,138.7,BEL,138.2,2023-10-12,137.2
136.3,2023-10,8303230,138.2,BEL,137.45,2023-10-13,136.3
137.0,2023-10,7785480,137.9,BEL,137.4,2023-10-16,136.55
137.5,2023-10,6076896,138.9,BEL,138.55,2023-10-17,137.5
138.75,2023-10,6806231,138.95,BEL,137.05,2023-10-18,136.4
136.0,2023-10,7775836,137.2,BEL,137.0,2023-10-19,135.05
136.7,2023-10,8982112,136.9,BEL,134.2,2023-10-20,133.5
134.3,2023-10,19333777,135.9,BEL,132.7,2023-10-23,131.4
132.5,2023-10,10225867,134.65,BEL,131.2,2023-10-25,129.25
130.0,2023-10,18167694,130.2,BEL,128.85,2023-10-26,127.0
129.25,2023-10,8761931,132.85,BEL,132.2,2023-10-27,129.25
133.5,2023-10,9052085,133.95,BEL,131.95,2023-10-30,130.8
132.5,2023-10,8098744,133.65,BEL,133.25,2023-10-31,130.75
133.75,2023-11,10431945,134.55,BEL,132.4,2023-11-01,132.05
133.7,2023-11,4885035,135.0,BEL,134.75,2023-11-02,133.3
135.15,2023-11,9154983,137.0,BEL,135.95,2023-11-03,134.75
136.95,2023-11,7070089,138.0,BEL,137.65,2023-11-06,136.0
137.55,2023-11,8587321,138.95,BEL,138.05,2023-11-07,136.7
137.75,2023-11,9755483,141.15,BEL,140.4,2023-11-08,137.7
139.95,2023-11,5481774,139.95,BEL,137.95,2023-11-09,137.6
137.5,2023-11,5781314,139.1,BEL,138.8,2023-11-10,137.05
139.95,2023-11,1362464,140.3,BEL,139.6,2023-11-12,139.3
139.15,2023-11,20245049,144.2,BEL,143.4,2023-11-13,139.05
144.5,2023-11,11440473,145.4,BEL,143.05,2023-11-15,142.5
143.25,2023-11,11453235,144.35,BEL,142.6,2023-11-16,142.2
142.85,2023-11,13496261,146.5,BEL,146.1,2023-11-17,141.8
146.4,2023-11,7741502,146.75,BEL,143.85,2023-11-20,143.15
144.15,2023-11,9972235,144.55,BEL,142.85,2023-11-21,142.25
143.25,2023-11,7445272,143.45,BEL,141.85,2023-11-22,140.15
141.85,2023-11,13138745,142.55,BEL,139.35,2023-11-23,139.1
139.95,2023-11,19614754,142.15,BEL,140.35,2023-11-24,137.35
141.65,2023-11,8595693,141.8,BEL,141.3,2023-11-28,140.4
142.05,2023-11,14680789,142.65,BEL,141.0,2023-11-29,140.5
141.0,2023-11,27591484,146.35,BEL,145.9,2023-11-30,140.75
147.95,2023-12,34466616,150.3,BEL,147.45,2023-12-01,146.75
152.0,2023-12,51416976,157.5,BEL,153.55,2023-12-04,151.6
153.7,2023-12,29109123,155.1,BEL,152.0,2023-12-05,149.95
152.6,2023-12,26688698,157.15,BEL,156.15,2023-12-06,151.85
161.8,2023-12,51346222,161.8,BEL,160.35,2023-12-07,158.25
161.35,2023-12,22869782,162.35,BEL,158.75,2023-12-08,157.3
159.8,2023-12,22941648,163.25,BEL,161.25,2023-12-11,159.15
162.45,2023-12,16306341,162.8,BEL,160.8,2023-12-12,160.0
160.2,2023-12,16804086,163.9,BEL,162.85,2023-12-13,159.4
163.1,2023-12,13887946,164.35,BEL,164.0,2023-12-14,162.6
166.0,2023-12,39766631,170.2,BEL,169.05,2023-12-15,165.25
171.75,2023-12,35901409,174.35,BEL,172.7,2023-12-18,169.45
172.9,2023-12,14732129,174.4,BEL,173.05,2023-12-19,171.1
173.75,2023-12,24511237,176.3,BEL,167.25,2023-12-20,166.15
165.0,2023-12,22646625,171.85,BEL,170.65,2023-12-21,164.05
171.95,2023-12,19640046,175.25,BEL,174.8,2023-12-22,169.4
178.0,2023-12,52736391,184.5,BEL,181.95,2023-12-26,178.0
184.0,2023-12,26206240,184.9,BEL,180.2,2023-12-27,179.1
181.5,2023-12,20453485,184.25,BEL,182.7,2023-12-28,180.8
182.95,2023-12,19305150,185.2,BEL,184.2,2023-12-29,181.1
184.8,2024-01,18008785,187.0,BEL,184.95,2024-01-01,184.45
186.0,2024-01,22790965,186.2,BEL,182.15,2024-01-02,179.75
182.35,2024-01,18738690,184.7,BEL,182.35,2024-01-03,180.6
182.5,2024-01,25403124,187.65,BEL,186.9,2024-01-04,182.5
187.7,2024-01,22023938,188.65,BEL,185.95,2024-01-05,184.05
186.75,2024-01,11472441,187.5,BEL,183.6,2024-01-08,183.2
184.9,2024-01,11550790,186.7,BEL,184.65,2024-01-09,184.2
184.4,2024-01,8701594,186.0,BEL,185.6,2024-01-10,182.05
187.0,2024-01,10942508,187.65,BEL,184.35,2024-01-11,183.8
185.35,2024-01,8853157,185.5,BEL,183.5,2024-01-12,183.1
184.9,2024-01,24570393,189.9,BEL,188.65,2024-01-15,184.1
188.9,2024-01,16471601,190.25,BEL,186.8,2024-01-16,185.1
186.3,2024-01,16350370,188.5,BEL,185.65,2024-01-17,183.8
185.65,2024-01,24831623,189.0,BEL,188.2,2024-01-18,180.0
190.0,2024-01,22303305,193.7,BEL,191.85,2024-01-19,190.0
193.0,2024-01,12654436,195.0,BEL,193.4,2024-01-20,190.7
195.25,2024-01,26628471,195.5,BEL,187.1,2024-01-23,184.4
186.8,2024-01,14742783,190.2,BEL,189.25,2024-01-24,184.0
190.75,2024-01,12592882,192.0,BEL,189.7,2024-01-25,188.3
190.0,2024-01,28919512,193.7,BEL,190.9,2024-01-29,187.55
192.0,2024-01,20894159,192.35,BEL,187.9,2024-01-30,187.0
188.2,2024-01,23757415,189.1,BEL,185.9,2024-01-31,184.85
187.7,2024-02,27835431,188.4,BEL,183.4,2024-02-01,181.55
185.0,2024-02,27710061,187.75,BEL,184.6,2024-02-02,183.85
187.0,2024-02,23880364,187.0,BEL,181.55,2024-02-05,178.8
182.4,2024-02,12134363,183.55,BEL,183.1,2024-02-06,180.7
184.15,2024-02,14192151,184.15,BEL,181.7,2024-02-07,179.65
182.2,2024-02,29094709,187.1,BEL,184.8,2024-02-08,181.75
185.5,2024-02,21081134,185.7,BEL,180.65,2024-02-09,176.5
181.25,2024-02,19640568,183.1,BEL,174.65,2024-02-12,173.65
174.75,2024-02,13961795,176.9,BEL,176.6,2024-02-13,171.75
177.25,2024-02,23449380,182.15,BEL,181.6,2024-02-14,175.3
183.0,2024-02,17335763,186.3,BEL,185.95,2024-02-15,182.6
189.0,2024-02,29843059,190.4,BEL,188.3,2024-02-16,186.85
189.95,2024-02,25343215,192.5,BEL,188.75,2024-02-19,188.3
189.1,2024-02,17809897,191.45,BEL,190.65,2024-02-20,186.25
191.3,2024-02,17870782,192.55,BEL,188.7,2024-02-21,187.0
189.75,2024-02,31992371,196.0,BEL,194.75,2024-02-22,188.7
196.3,2024-02,76179371,207.0,BEL,205.3,2024-02-23,195.95
205.65,2024-02,27013630,206.9,BEL,204.25,2024-02-26,202.8
203.55,2024-02,28877205,209.0,BEL,205.35,2024-02-27,203.1
206.2,2024-02,38996363,209.0,BEL,205.65,2024-02-28,201.45
205.45,2024-02,24059731,205.9,BEL,205.1,2024-02-29,199.75
205.95,2024-03,12949604,208.05,BEL,205.6,2024-03-01,204.8
206.0,2024-03,1497553,207.7,BEL,206.75,2024-03-02,205.9
207.95,2024-03,34272251,212.95,BEL,209.6,2024-03-04,206.35
211.0,2024-03,24964592,213.75,BEL,210.75,2024-03-05,209.85
211.8,2024-03,26236957,213.45,BEL,210.45,2024-03-06,205.6
211.45,2024-03,41484038,216.8,BEL,215.2,2024-03-07,211.15
216.45,2024-03,22800967,216.45,BEL,212.55,2024-03-11,211.9
211.0,2024-03,34719550,211.35,BEL,204.25,2024-03-12,201.5
204.1,2024-03,41620003,205.6,BEL,190.3,2024-03-13,188.2
