open,month,volume,high,Ticker,close,date,low
174.25,2023-10,10514554,174.6,BPCL,170.68,2023-10-03,170.43
170.68,2023-10,6049760,172.48,BPCL,170.68,2023-10-04,169.78
172.75,2023-10,7115506,173.88,BPCL,172.23,2023-10-05,171.4
172.5,2023-10,3717076,174.5,BPCL,173.6,2023-10-06,172.0
170.5,2023-10,8740080,170.83,BPCL,170.0,2023-10-09,168.08
170.03,2023-10,3572978,171.3,BPCL,170.2,2023-10-10,169.6
171.1,2023-10,4799512,172.65,BPCL,171.28,2023-10-11,170.75
172.45,2023-10,7703802,175.18,BPCL,174.35,2023-10-12,172.03
173.55,2023-10,3981804,175.3,BPCL,173.85,2023-10-13,173.53
172.5,2023-10,3262470,174.23,BPCL,173.63,2023-10-16,171.0
174.45,2023-10,10443728,178.85,BPCL,177.35,2023-10-17,173.35
177.5,2023-10,9162228,178.25,BPCL,175.1,2023-10-18,174.43
174.75,2023-10,5743188,177.28,BPCL,176.85,2023-10-19,174.58
175.3,2023-10,4400690,176.4,BPCL,173.2,2023-10-20,172.28
172.78,2023-10,7813800,173.65,BPCL,171.4,2023-10-23,170.83
171.28,2023-10,5429774,173.25,BPCL,169.98,2023-10-25,169.25
168.8,2023-10,7743878,169.48,BPCL,167.5,2023-10-26,165.73
167.5,2023-10,2996088,169.13,BPCL,167.48,2023-10-27,167.0
169.0,2023-10,21873188,174.45,BPCL,173.45,2023-10-30,168.55
174.18,2023-10,10673186,176.98,BPCL,174.63,2023-10-31,172.33
175.28,2023-11,13929780,179.38,BPCL,178.45,2023-11-01,175.28
180.48,2023-11,10130432,181.0,BPCL,180.28,2023-11-02,178.63
180.58,2023-11,5627900,181.85,BPCL,180.75,2023-11-03,180.1
181.4,2023-11,9072020,184.58,BPCL,183.13,2023-11-06,180.68
183.4,2023-11,10702176,186.83,BPCL,186.4,2023-11-07,183.1
187.73,2023-11,24020912,193.95,BPCL,192.1,2023-11-08,187.03
192.55,2023-11,12843896,195.33,BPCL,191.78,2023-11-09,191.4
190.9,2023-11,4932486,193.05,BPCL,192.03,2023-11-10,190.25
192.5,2023-11,776810,194.0,BPCL,192.05,2023-11-12,191.58
191.75,2023-11,4838906,194.35,BPCL,193.55,2023-11-13,191.75
194.0,2023-11,11266250,196.7,BPCL,196.28,2023-11-15,193.58
197.0,2023-11,15416172,200.65,BPCL,199.33,2023-11-16,196.5
200.0,2023-11,16380696,203.55,BPCL,195.13,2023-11-17,194.63
195.33,2023-11,4506882,196.7,BPCL,196.0,2023-11-20,193.73
196.0,2023-11,4477214,196.6,BPCL,194.0,2023-11-21,193.3
196.0,2023-11,25730664,201.4,BPCL,201.05,2023-11-22,195.55
201.78,2023-11,16239092,206.75,BPCL,205.65,2023-11-23,200.33
206.5,2023-11,10975546,206.5,BPCL,205.3,2023-11-24,203.5
207.03,2023-11,23186856,212.95,BPCL,212.25,2023-11-28,206.55
213.0,2023-11,25208812,217.23,BPCL,214.33,2023-11-29,209.35
217.25,2023-11,32721308,219.38,BPCL,217.85,2023-11-30,214.53
220.0,2023-12,19278842,221.2,BPCL,219.0,2023-12-01,216.7
222.5,2023-12,41482794,232.4,BPCL,230.75,2023-12-04,222.0
235.03,2023-12,38376064,238.23,BPCL,236.1,2023-12-05,232.5
240.5,2023-12,27408826,241.25,BPCL,236.43,2023-12-06,234.15
238.5,2023-12,23850564,239.5,BPCL,237.35,2023-12-07,235.75
238.45,2023-12,18940478,238.73,BPCL,235.23,2023-12-08,232.9
237.43,2023-12,27693108,237.43,BPCL,232.75,2023-12-11,228.28
222.75,2023-12,19940320,225.73,BPCL,223.78,2023-12-12,222.75
224.75,2023-12,26664018,227.18,BPCL,223.75,2023-12-13,222.98
224.98,2023-12,12555568,224.98,BPCL,222.85,2023-12-14,221.03
222.5,2023-12,22079148,226.73,BPCL,224.5,2023-12-15,221.1
224.5,2023-12,16831064,225.13,BPCL,223.63,2023-12-18,222.05
223.63,2023-12,12644672,225.75,BPCL,224.88,2023-12-19,222.53
