open,month,volume,high,Ticker,close,date,low
634.45,2023-10,3454441,637.5,HDFCLIFE,633.55,2023-10-03,628.55
631.0,2023-10,2357914,632.0,HDFCLIFE,625.5,2023-10-04,624.25
626.0,2023-10,4050085,627.75,HDFCLIFE,624.35,2023-10-05,619.9
624.55,2023-10,3713370,636.2,HDFCLIFE,630.9,2023-10-06,622.75
625.0,2023-10,3308557,629.55,HDFCLIFE,615.15,2023-10-09,613.35
616.1,2023-10,4054232,624.75,HDFCLIFE,621.25,2023-10-10,615.15
626.95,2023-10,3102088,627.0,HDFCLIFE,621.5,2023-10-11,619.0
622.05,2023-10,2810053,626.3,HDFCLIFE,624.65,2023-10-12,619.0
623.25,2023-10,5462771,633.0,HDFCLIFE,625.25,2023-10-13,614.5
633.0,2023-10,3399593,635.0,HDFCLIFE,630.05,2023-10-16,619.65
632.5,2023-10,4443295,645.9,HDFCLIFE,641.8,2023-10-17,630.55
641.65,2023-10,2187089,648.45,HDFCLIFE,645.0,2023-10-18,637.75
639.0,2023-10,3371397,644.25,HDFCLIFE,639.0,2023-10-19,629.15
636.95,2023-10,1853937,641.95,HDFCLIFE,639.95,2023-10-20,630.0
638.0,2023-10,2502483,644.7,HDFCLIFE,625.25,2023-10-23,621.8
625.25,2023-10,2821496,627.95,HDFCLIFE,616.45,2023-10-25,607.7
611.85,2023-10,2011512,614.95,HDFCLIFE,605.85,2023-10-26,602.7
606.05,2023-10,1348147,615.6,HDFCLIFE,608.65,2023-10-27,606.05
609.8,2023-10,1882245,618.0,HDFCLIFE,607.6,2023-10-30,600.75
607.1,2023-10,2661284,621.0,HDFCLIFE,618.35,2023-10-31,604.45
621.8,2023-11,1947740,623.95,HDFCLIFE,620.05,2023-11-01,616.9
622.0,2023-11,1651263,626.8,HDFCLIFE,619.3,2023-11-02,618.0
622.0,2023-11,1450553,625.0,HDFCLIFE,622.1,2023-11-03,619.6
622.1,2023-11,1789823,626.3,HDFCLIFE,621.8,2023-11-06,619.4
623.4,2023-11,2747838,624.0,HDFCLIFE,622.45,2023-11-07,614.7
624.0,2023-11,1332249,624.85,HDFCLIFE,618.75,2023-11-08,617.5
