open,month,volume,high,Ticker,close,date,low
951.6,2023-10,11131636,951.6,ICICIBANK,940.3,2023-10-03,939.0
935.0,2023-10,17334739,935.5,ICICIBANK,930.05,2023-10-04,925.0
935.2,2023-10,10478856,943.95,ICICIBANK,940.85,2023-10-05,934.55
946.0,2023-10,6355755,946.55,ICICIBANK,945.2,2023-10-06,938.0
940.25,2023-10,6725306,942.05,ICICIBANK,938.6,2023-10-09,936.3
940.4,2023-10,11452715,957.5,ICICIBANK,951.2,2023-10-10,940.35
954.9,2023-10,12233117,962.05,ICICIBANK,953.1,2023-10-11,950.75
952.85,2023-10,7836818,960.1,ICICIBANK,954.25,2023-10-12,948.4
949.95,2023-10,6650442,957.4,ICICIBANK,951.3,2023-10-13,944.55
948.5,2023-10,5763024,954.85,ICICIBANK,951.4,2023-10-16,946.15
955.4,2023-10,7747527,960.95,ICICIBANK,953.9,2023-10-17,951.5
949.2,2023-10,12000153,950.65,ICICIBANK,943.75,2023-10-18,939.1
936.0,2023-10,8612676,945.0,ICICIBANK,935.75,2023-10-19,934.0
932.0,2023-10,6586576,940.0,ICICIBANK,932.75,2023-10-20,930.0
942.0,2023-10,11856890,944.8,ICICIBANK,929.95,2023-10-23,925.4
926.05,2023-10,12593434,933.8,ICICIBANK,916.1,2023-10-25,911.4
914.3,2023-10,21693345,916.6,ICICIBANK,908.65,2023-10-26,899.0
916.0,2023-10,8645505,918.15,ICICIBANK,912.75,2023-10-27,911.3
909.1,2023-10,7687791,926.3,ICICIBANK,924.9,2023-10-30,908.2
929.3,2023-10,17211107,931.0,ICICIBANK,915.35,2023-10-31,914.1
913.8,2023-11,12927203,917.6,ICICIBANK,914.05,2023-11-01,909.3
920.05,2023-11,9747311,924.8,ICICIBANK,919.95,2023-11-02,912.8
928.55,2023-11,7146961,934.5,ICICIBANK,933.8,2023-11-03,926.8
941.0,2023-11,10338367,947.75,ICICIBANK,945.45,2023-11-06,937.4
943.6,2023-11,15704942,950.45,ICICIBANK,948.1,2023-11-07,930.45
948.45,2023-11,17606074,948.45,ICICIBANK,935.75,2023-11-08,934.1
934.0,2023-11,9406117,942.35,ICICIBANK,937.35,2023-11-09,933.0
934.9,2023-11,9560455,941.45,ICICIBANK,938.6,2023-11-10,932.4
942.0,2023-11,1561479,943.2,ICICIBANK,942.35,2023-11-12,939.6
940.9,2023-11,11470096,940.9,ICICIBANK,934.45,2023-11-13,932.0
944.4,2023-11,19492138,944.4,ICICIBANK,941.1,2023-11-15,938.75
939.0,2023-11,19706373,946.2,ICICIBANK,936.0,2023-11-16,934.0
926.55,2023-11,10956653,938.4,ICICIBANK,921.85,2023-11-17,920.15
922.0,2023-11,10562301,926.75,ICICIBANK,921.45,2023-11-20,917.5
924.4,2023-11,8989572,928.05,ICICIBANK,926.1,2023-11-21,922.0
923.25,2023-11,12197979,925.2,ICICIBANK,922.75,2023-11-22,914.75
923.0,2023-11,5534614,925.35,ICICIBANK,923.0,2023-11-23,918.5
921.5,2023-11,7452002,930.4,ICICIBANK,929.4,2023-11-24,920.2
928.9,2023-11,14231987,931.05,ICICIBANK,925.5,2023-11-28,921.7
930.9,2023-11,11680078,941.1,ICICIBANK,939.6,2023-11-29,926.0
938.95,2023-11,23950292,940.85,ICICIBANK,934.95,2023-11-30,928.2
935.95,2023-12,16986046,952.0,ICICIBANK,946.7,2023-12-01,933.0
963.7,2023-12,33131257,994.85,ICICIBANK,991.2,2023-12-04,961.4
1002.5,2023-12,31378461,1015.75,ICICIBANK,1013.45,2023-12-05,995.05
1014.0,2023-12,18786590,1016.25,ICICIBANK,1003.25,2023-12-06,1000.25
996.35,2023-12,11841945,1002.2,ICICIBANK,999.0,2023-12-07,988.15
994.5,2023-12,16116363,1012.85,ICICIBANK,1010.85,2023-12-08,993.25
1007.1,2023-12,11714606,1020.0,ICICIBANK,1017.1,2023-12-11,1004.65
