open,month,volume,high,Ticker,close,date,low
1436.05,2023-10,4181867,1437.0,INFY,1434.0,2023-10-03,1420.3
1425.0,2023-10,4510406,1449.95,INFY,1444.35,2023-10-04,1418.2
1452.0,2023-10,7384621,1475.65,INFY,1463.45,2023-10-05,1450.2
1469.5,2023-10,3598672,1484.5,INFY,1478.7,2023-10-06,1463.3
1464.9,2023-10,3567552,1491.0,INFY,1475.45,2023-10-09,1462.2
1483.9,2023-10,5688951,1497.0,INFY,1495.15,2023-10-10,1469.1
1497.0,2023-10,7220129,1518.25,INFY,1494.4,2023-10-11,1481.45
1491.9,2023-10,11081662,1504.4,INFY,1465.5,2023-10-12,1452.0
1405.0,2023-10,17973439,1438.0,INFY,1431.15,2023-10-13,1400.0
1432.1,2023-10,4850745,1443.6,INFY,1434.15,2023-10-16,1430.0
1440.25,2023-10,3923764,1453.35,INFY,1442.45,2023-10-17,1438.05
1442.0,2023-10,4264837,1454.0,INFY,1440.55,2023-10-18,1438.35
1426.1,2023-10,6795691,1439.65,INFY,1433.65,2023-10-19,1426.1
1430.0,2023-10,3928622,1438.5,INFY,1427.25,2023-10-20,1425.25
1425.6,2023-10,2636516,1432.35,INFY,1408.65,2023-10-23,1405.25
1399.0,2023-10,6940777,1402.55,INFY,1370.05,2023-10-25,1361.3
1355.05,2023-10,6357656,1374.0,INFY,1359.45,2023-10-26,1353.1
1363.65,2023-10,4634358,1385.0,INFY,1380.35,2023-10-27,1363.65
1380.35,2023-10,2667696,1380.35,INFY,1377.05,2023-10-30,1363.1
1379.95,2023-10,3451595,1381.15,INFY,1368.4,2023-10-31,1363.0
1373.05,2023-11,3090672,1377.45,INFY,1354.15,2023-11-01,1351.65
1370.0,2023-11,3758060,1376.3,INFY,1370.15,2023-11-02,1361.65
1380.05,2023-11,3349045,1392.0,INFY,1389.05,2023-11-03,1377.75
1393.9,2023-11,2736381,1407.25,INFY,1403.3,2023-11-06,1390.8
1400.0,2023-11,2272209,1405.9,INFY,1404.3,2023-11-07,1394.85
1405.0,2023-11,3550635,1405.0,INFY,1391.0,2023-11-08,1386.45
1395.9,2023-11,5498051,1397.5,INFY,1374.8,2023-11-09,1370.05
1369.95,2023-11,2943649,1373.15,INFY,1368.85,2023-11-10,1361.0
1380.05,2023-11,572298,1389.1,INFY,1388.2,2023-11-12,1380.05
1379.85,2023-11,3462092,1382.45,INFY,1373.55,2023-11-13,1370.85
1399.0,2023-11,8551860,1414.0,INFY,1410.5,2023-11-15,1393.0
1416.1,2023-11,6673907,1453.4,INFY,1444.9,2023-11-16,1410.6
1441.05,2023-11,4901251,1451.0,INFY,1437.55,2023-11-17,1435.05
1442.0,2023-11,3584210,1452.0,INFY,1436.6,2023-11-20,1433.65
1442.0,2023-11,3793135,1450.0,INFY,1439.0,2023-11-21,1436.75
1436.2,2023-11,3108786,1458.95,INFY,1457.8,2023-11-22,1436.2
1467.9,2023-11,3186928,1467.9,INFY,1449.25,2023-11-23,1447.7
1445.55,2023-11,2973195,1452.65,INFY,1437.4,2023-11-24,1433.85
1444.0,2023-11,3755373,1445.0,INFY,1442.7,2023-11-28,1427.05
1451.1,2023-11,3875778,1460.7,INFY,1459.6,2023-11-29,1449.8
1453.25,2023-11,10120867,1460.65,INFY,1455.15,2023-11-30,1449.55
1459.9,2023-12,3489187,1459.9,INFY,1452.3,2023-12-01,1446.15
1460.45,2023-12,5511948,1471.9,INFY,1464.35,2023-12-04,1449.3
1465.8,2023-12,5123039,1466.9,INFY,1453.95,2023-12-05,1442.0
1456.75,2023-12,5269178,1477.0,INFY,1474.3,2023-12-06,1451.05
1472.85,2023-12,4424453,1472.85,INFY,1465.9,2023-12-07,1461.8
1470.4,2023-12,6323433,1494.7,INFY,1491.15,2023-12-08,1466.25
1490.0,2023-12,3862018,1498.0,INFY,1488.5,2023-12-11,1482.0
1477.5,2023-12,6103494,1490.0,INFY,1476.05,2023-12-12,1467.65
1476.0,2023-12,8549258,1476.05,INFY,1449.0,2023-12-13,1433.15
1463.4,2023-12,12489858,1511.0,INFY,1501.45,2023-12-14,1461.35
1523.05,2023-12,18395389,1588.55,INFY,1578.4,2023-12-15,1521.0
1567.95,2023-12,6467243,1593.0,INFY,1564.35,2023-12-18,1560.3
1570.1,2023-12,4221721,1573.95,INFY,1558.3,2023-12-19,1543.25
1565.05,2023-12,6592367,1583.5,INFY,1536.4,2023-12-20,1530.0
1521.25,2023-12,5319038,1546.65,INFY,1536.0,2023-12-21,1521.25
1534.95,2023-12,6741060,1566.0,INFY,1562.9,2023-12-22,1523.0
1535.0,2023-12,6878067,1548.0,INFY,1543.95,2023-12-26,1523.0
1544.0,2023-12,4225849,1570.0,INFY,1567.1,2023-12-27,1544.0
1568.95,2023-12,5702253,1568.95,INFY,1562.65,2023-12-28,1555.0
1541.05,2023-12,4388990,1559.45,INFY,1542.9,2023-12-29,1540.0
1539.0,2024-01,2808451,1557.0,INFY,1551.35,2024-01-01,1535.25
1546.0,2024-01,5396313,1549.15,INFY,1534.4,2024-01-02,1523.0
1519.95,2024-01,7550363,1519.95,INFY,1490.0,2024-01-03,1488.0
1504.95,2024-01,7056038,1519.75,INFY,1512.7,2024-01-04,1492.9
1506.75,2024-01,8895403,1539.7,INFY,1532.55,2024-01-05,1506.25
1528.95,2024-01,4440136,1536.0,INFY,1522.8,2024-01-08,1513.25
1541.9,2024-01,4412074,1553.0,INFY,1529.3,2024-01-09,1525.85
1524.95,2024-01,4096845,1535.45,INFY,1519.9,2024-01-10,1505.0
1524.9,2024-01,11296088,1525.0,INFY,1494.2,2024-01-11,1486.6
1562.0,2024-01,26754401,1618.0,INFY,1612.75,2024-01-12,1555.4
1644.95,2024-01,13228305,1664.95,INFY,1652.1,2024-01-15,1636.0
1644.8,2024-01,6500917,1648.5,INFY,1631.55,2024-01-16,1625.0
1620.25,2024-01,9209876,1647.5,INFY,1640.2,2024-01-17,1620.25
1642.65,2024-01,6375464,1649.0,INFY,1642.6,2024-01-18,1628.25
1651.6,2024-01,4522736,1665.5,INFY,1659.2,2024-01-19,1644.15
1665.55,2024-01,1158144,1669.25,INFY,1648.85,2024-01-20,1645.0
1650.1,2024-01,9401255,1674.7,INFY,1642.15,2024-01-23,1637.7
1659.9,2024-01,8999681,1680.0,INFY,1675.4,2024-01-24,1645.0
1672.95,2024-01,8865304,1680.55,INFY,1669.1,2024-01-25,1658.0
1665.15,2024-01,4253785,1679.35,INFY,1656.6,2024-01-29,1647.6
1662.45,2024-01,4995943,1690.0,INFY,1651.45,2024-01-30,1648.25
1648.25,2024-01,6763779,1667.25,INFY,1660.9,2024-01-31,1638.1
1659.55,2024-02,5760011,1677.0,INFY,1657.05,2024-02-01,1650.35
1666.05,2024-02,7858483,1718.5,INFY,1693.35,2024-02-02,1665.0
1694.75,2024-02,3634135,1700.75,INFY,1687.2,2024-02-05,1681.85
1686.75,2024-02,7694265,1733.0,INFY,1729.45,2024-02-06,1673.95
1729.0,2024-02,4613877,1729.0,INFY,1693.75,2024-02-07,1686.85
1698.0,2024-02,5919715,1706.35,INFY,1692.1,2024-02-08,1682.8
1684.7,2024-02,4600004,1692.9,INFY,1669.35,2024-02-09,1659.8
1670.35,2024-02,3555808,1692.95,INFY,1680.1,2024-02-12,1670.35
1683.0,2024-02,2696481,1689.1,INFY,1684.55,2024-02-13,1663.5
1660.2,2024-02,3768579,1669.45,INFY,1666.2,2024-02-14,1635.5
1677.0,2024-02,4834391,1687.75,INFY,1676.35,2024-02-15,1661.6
1689.0,2024-02,4880654,1709.0,INFY,1701.65,2024-02-16,1687.95
1705.0,2024-02,3690993,1711.5,INFY,1699.75,2024-02-19,1687.7
1685.0,2024-02,3706389,1694.25,INFY,1685.25,2024-02-20,1668.75
1674.0,2024-02,4300508,1674.0,INFY,1655.55,2024-02-21,1645.3
1665.0,2024-02,5841277,1684.6,INFY,1681.35,2024-02-22,1644.4
1697.0,2024-02,5373072,1698.45,INFY,1676.85,2024-02-23,1671.9
1674.95,2024-02,2782438,1674.95,INFY,1660.15,2024-02-26,1645.0
1661.0,2024-02,5159088,1671.1,INFY,1663.6,2024-02-27,1652.8
1670.0,2024-02,3188916,1687.8,INFY,1671.25,2024-02-28,1662.05
1665.0,2024-02,7814722,1682.25,INFY,1673.9,2024-02-29,1653.3
1669.0,2024-03,6387291,1671.95,INFY,1654.7,2024-03-01,1651.0
1658.85,2024-03,292153,1665.0,INFY,1656.3,2024-03-02,1654.05
1657.85,2024-03,4445156,1664.45,INFY,1637.2,2024-03-04,1633.65
