open,month,volume,high,Ticker,close,date,low
441.0,2023-10,7481883,442.9,ITC,439.75,2023-10-03,439.25
439.75,2023-10,13396709,441.7,ITC,436.1,2023-10-04,433.3
440.0,2023-10,10030257,440.5,ITC,436.05,2023-10-05,435.05
437.85,2023-10,8418580,443.6,ITC,442.15,2023-10-06,436.65
440.95,2023-10,5611154,443.2,ITC,440.45,2023-10-09,437.25
440.45,2023-10,5014758,444.85,ITC,444.4,2023-10-10,440.45
447.2,2023-10,7651513,449.45,ITC,448.25,2023-10-11,444.8
449.65,2023-10,11774487,452.5,ITC,450.7,2023-10-12,446.15
449.85,2023-10,7632483,451.8,ITC,448.35,2023-10-13,447.0
448.0,2023-10,4214958,451.0,ITC,448.95,2023-10-16,446.2
449.8,2023-10,6936218,454.5,ITC,453.45,2023-10-17,449.0
454.25,2023-10,6894947,458.2,ITC,451.65,2023-10-18,451.0
449.75,2023-10,9465463,454.9,ITC,450.4,2023-10-19,446.85
445.0,2023-10,13020371,449.0,ITC,438.3,2023-10-20,437.35
438.0,2023-10,7275471,439.95,ITC,435.9,2023-10-23,433.1
436.9,2023-10,10889221,438.0,ITC,432.7,2023-10-25,427.05
429.55,2023-10,18801214,436.6,ITC,434.35,2023-10-26,429.55
434.35,2023-10,13132487,436.8,ITC,433.75,2023-10-27,432.2
434.55,2023-10,7618033,437.15,ITC,430.45,2023-10-30,428.35
430.0,2023-10,8620154,433.35,ITC,428.4,2023-10-31,427.9
430.0,2023-11,7990245,431.1,ITC,428.1,2023-11-01,425.5
430.05,2023-11,8152031,432.7,ITC,431.15,2023-11-02,428.65
432.8,2023-11,13802600,434.4,ITC,433.25,2023-11-03,431.1
433.5,2023-11,7308229,436.8,ITC,435.35,2023-11-06,432.55
434.9,2023-11,5124012,434.9,ITC,432.7,2023-11-07,432.15
433.15,2023-11,6979849,437.5,ITC,436.95,2023-11-08,432.3
437.8,2023-11,7785767,438.0,ITC,434.4,2023-11-09,433.9
434.4,2023-11,4079205,438.0,ITC,436.55,2023-11-10,432.5
438.85,2023-11,1181310,439.2,ITC,438.45,2023-11-12,438.0
438.4,2023-11,3744754,438.4,ITC,436.0,2023-11-13,435.0
438.1,2023-11,7436428,442.5,ITC,441.95,2023-11-15,437.5
441.95,2023-11,10857863,444.5,ITC,438.65,2023-11-16,437.6
439.25,2023-11,6655278,441.5,ITC,439.25,2023-11-17,438.3
439.85,2023-11,4335388,440.3,ITC,436.8,2023-11-20,434.5
437.15,2023-11,5997810,439.3,ITC,436.25,2023-11-21,435.5
437.0,2023-11,4886687,440.4,ITC,439.7,2023-11-22,434.8
440.95,2023-11,6366606,442.25,ITC,440.35,2023-11-23,438.25
441.0,2023-11,6821878,442.25,ITC,437.8,2023-11-24,436.85
438.0,2023-11,8745691,439.0,ITC,435.25,2023-11-28,434.9
436.0,2023-11,13785216,438.5,ITC,437.2,2023-11-29,434.15
436.7,2023-11,15127505,438.45,ITC,435.8,2023-11-30,434.5
437.9,2023-12,19336856,450.95,ITC,449.8,2023-12-01,437.4
455.0,2023-12,12800220,456.4,ITC,454.05,2023-12-04,451.0
455.0,2023-12,12136292,457.8,ITC,451.75,2023-12-05,450.1
453.9,2023-12,20417559,464.5,ITC,463.25,2023-12-06,452.1
464.75,2023-12,11310918,464.8,ITC,458.1,2023-12-07,457.4
459.95,2023-12,18667895,461.6,ITC,449.15,2023-12-08,448.5
451.5,2023-12,6599973,453.6,ITC,452.45,2023-12-11,449.3
454.2,2023-12,10158101,460.0,ITC,453.1,2023-12-12,452.35
456.3,2023-12,11283868,458.85,ITC,455.65,2023-12-13,453.1
460.0,2023-12,14370803,461.0,ITC,460.1,2023-12-14,449.45
461.9,2023-12,15789845,462.95,ITC,458.2,2023-12-15,455.0
455.0,2023-12,12027620,456.0,ITC,451.65,2023-12-18,450.35
453.35,2023-12,10268755,458.0,ITC,456.1,2023-12-19,452.05
459.0,2023-12,10367665,459.25,ITC,451.0,2023-12-20,449.3
449.0,2023-12,11154625,453.75,ITC,451.45,2023-12-21,444.45
453.0,2023-12,11026317,455.9,ITC,455.2,2023-12-22,450.55
456.05,2023-12,5871301,458.9,ITC,456.45,2023-12-26,454.7
457.0,2023-12,7543383,458.5,ITC,457.1,2023-12-27,453.75
457.2,2023-12,20696101,464.7,ITC,464.1,2023-12-28,456.1
464.1,2023-12,12888266,467.9,ITC,462.1,2023-12-29,461.35
463.5,2024-01,9346277,469.95,ITC,468.05,2024-01-01,462.65
470.0,2024-01,10519771,471.35,ITC,470.35,2024-01-02,463.6
470.25,2024-01,24036012,480.7,ITC,477.25,2024-01-03,469.35
480.0,2024-01,11786959,481.45,ITC,476.4,2024-01-04,474.2
479.4,2024-01,9209405,479.4,ITC,473.95,2024-01-05,472.0
475.0,2024-01,8003177,475.5,ITC,465.5,2024-01-08,464.55
467.5,2024-01,5696780,469.95,ITC,464.55,2024-01-09,463.65
464.55,2024-01,5896123,466.75,ITC,463.3,2024-01-10,460.05
464.1,2024-01,6534775,466.55,ITC,462.65,2024-01-11,461.1
463.25,2024-01,9354326,467.7,ITC,466.7,2024-01-12,460.35
470.0,2024-01,6902156,470.5,ITC,467.6,2024-01-15,466.1
467.8,2024-01,12066347,475.0,ITC,472.3,2024-01-16,464.25
471.4,2024-01,11108698,477.0,ITC,466.6,2024-01-17,465.2
465.25,2024-01,9143784,467.85,ITC,465.5,2024-01-18,454.55
468.55,2024-01,12203322,473.0,ITC,471.5,2024-01-19,466.4
473.4,2024-01,3296407,475.0,ITC,468.4,2024-01-20,468.0
473.75,2024-01,8404513,473.75,ITC,459.3,2024-01-23,456.4
460.1,2024-01,21626183,467.4,ITC,463.6,2024-01-24,458.1
463.55,2024-01,19677700,464.95,ITC,455.65,2024-01-25,452.1
455.9,2024-01,17869152,457.25,ITC,449.8,2024-01-29,447.5
447.0,2024-01,43514448,453.7,ITC,438.05,2024-01-30,437.4
440.0,2024-01,19882944,442.5,ITC,441.55,2024-01-31,438.7
442.0,2024-02,19165409,447.75,ITC,442.9,2024-02-01,439.3
445.0,2024-02,17156021,447.2,ITC,440.1,2024-02-02,439.5
442.0,2024-02,12041897,443.65,ITC,438.05,2024-02-05,436.55
440.0,2024-02,18764371,440.9,ITC,431.4,2024-02-06,429.5
435.0,2024-02,12880824,435.0,ITC,431.8,2024-02-07,430.8
429.0,2024-02,48183882,429.1,ITC,414.55,2024-02-08,408.6
410.1,2024-02,32283965,424.2,ITC,415.5,2024-02-09,408.6
417.55,2024-02,10906914,418.0,ITC,406.85,2024-02-12,406.05
406.9,2024-02,15606705,410.8,ITC,406.75,2024-02-13,403.3
406.0,2024-02,12150077,412.25,ITC,411.55,2024-02-14,404.4
413.0,2024-02,20383983,414.55,ITC,403.9,2024-02-15,403.15
405.0,2024-02,37518847,409.55,ITC,404.6,2024-02-16,399.4
405.0,2024-02,16949793,412.75,ITC,409.25,2024-02-19,404.6
410.45,2024-02,14084218,410.45,ITC,406.1,2024-02-20,404.3
407.0,2024-02,19414653,410.1,ITC,403.35,2024-02-21,401.3
406.9,2024-02,18604659,415.15,ITC,414.45,2024-02-22,403.45
415.9,2024-02,11147636,415.9,ITC,411.4,2024-02-23,410.5
411.1,2024-02,7982145,413.05,ITC,409.2,2024-02-26,407.3
410.0,2024-02,7783743,412.75,ITC,411.15,2024-02-27,408.55
411.15,2024-02,8617768,412.35,ITC,408.3,2024-02-28,406.8
409.0,2024-02,14895144,411.05,ITC,406.3,2024-02-29,404.5
408.9,2024-03,12395632,413.15,ITC,409.5,2024-03-01,407.5
411.0,2024-03,977655,412.8,ITC,412.05,2024-03-02,410.1
412.25,2024-03,6840352,412.95,ITC,409.1,2024-03-04,408.45
409.65,2024-03,9733507,411.4,ITC,406.15,2024-03-05,403.95
406.5,2024-03,11106855,409.95,ITC,407.85,2024-03-06,400.7
407.85,2024-03,23020545,414.95,ITC,413.55,2024-03-07,403.65
