open,month,volume,high,Ticker,close,date,low
776.55,2023-10,1099773,776.55,JSWSTEEL,770.25,2023-10-03,768.0
767.95,2023-10,1654158,768.0,JSWSTEEL,756.6,2023-10-04,753.15
762.0,2023-10,1459736,762.65,JSWSTEEL,755.5,2023-10-05,752.9
760.35,2023-10,2026927,771.15,JSWSTEEL,765.2,2023-10-06,758.65
756.5,2023-10,725323,761.4,JSWSTEEL,757.55,2023-10-09,749.15
759.65,2023-10,1351582,774.2,JSWSTEEL,771.9,2023-10-10,757.3
776.0,2023-10,1841618,782.55,JSWSTEEL,777.25,2023-10-11,774.55
782.4,2023-10,2139718,789.95,JSWSTEEL,783.45,2023-10-12,779.45
778.0,2023-10,998547,780.0,JSWSTEEL,777.25,2023-10-13,773.0
777.25,2023-10,2157341,794.35,JSWSTEEL,790.7,2023-10-16,773.0
792.7,2023-10,1050381,796.0,JSWSTEEL,790.15,2023-10-17,788.15
793.1,2023-10,1250892,801.0,JSWSTEEL,784.4,2023-10-18,781.2
780.15,2023-10,2130597,782.7,JSWSTEEL,780.45,2023-10-19,769.15
779.6,2023-10,1501944,779.75,JSWSTEEL,769.4,2023-10-20,761.9
770.8,2023-10,1715908,774.8,JSWSTEEL,748.95,2023-10-23,746.1
754.1,2023-10,2417579,761.85,JSWSTEEL,748.3,2023-10-25,741.5
744.7,2023-10,2519570,745.0,JSWSTEEL,728.7,2023-10-26,725.5
729.7,2023-10,1588987,735.45,JSWSTEEL,732.0,2023-10-27,725.25
734.8,2023-10,1162173,736.8,JSWSTEEL,734.5,2023-10-30,726.0
737.0,2023-10,1363728,738.55,JSWSTEEL,736.35,2023-10-31,727.0
736.9,2023-11,1845107,737.3,JSWSTEEL,724.45,2023-11-01,723.0
728.0,2023-11,1095177,734.4,JSWSTEEL,733.35,2023-11-02,725.0
735.95,2023-11,2526039,748.0,JSWSTEEL,746.05,2023-11-03,735.0
748.1,2023-11,2782755,756.45,JSWSTEEL,754.0,2023-11-06,744.9
757.0,2023-11,2288975,759.6,JSWSTEEL,748.6,2023-11-07,746.95
750.0,2023-11,2664277,757.75,JSWSTEEL,756.7,2023-11-08,745.0
756.7,2023-11,2579350,759.9,JSWSTEEL,750.85,2023-11-09,749.05
751.9,2023-11,1108868,759.0,JSWSTEEL,754.75,2023-11-10,745.05
760.0,2023-11,133415,761.0,JSWSTEEL,756.55,2023-11-12,753.0
756.55,2023-11,942603,763.25,JSWSTEEL,761.1,2023-11-13,753.0
769.0,2023-11,2443652,782.5,JSWSTEEL,772.85,2023-11-15,769.0
770.5,2023-11,1699954,774.3,JSWSTEEL,769.15,2023-11-16,763.4
772.0,2023-11,1567731,774.9,JSWSTEEL,768.8,2023-11-17,766.0
769.9,2023-11,1024654,772.0,JSWSTEEL,761.85,2023-11-20,760.65
766.85,2023-11,1846834,779.6,JSWSTEEL,775.8,2023-11-21,765.95
775.8,2023-11,1312655,776.75,JSWSTEEL,768.45,2023-11-22,765.5
771.95,2023-11,1068229,777.95,JSWSTEEL,775.55,2023-11-23,767.15
779.0,2023-11,2069730,786.25,JSWSTEEL,782.05,2023-11-24,776.4
785.0,2023-11,858569,785.55,JSWSTEEL,782.35,2023-11-28,778.75
783.2,2023-11,1481172,794.7,JSWSTEEL,793.25,2023-11-29,783.2
794.0,2023-11,3142500,808.15,JSWSTEEL,801.1,2023-11-30,789.6
805.0,2023-12,2064512,815.0,JSWSTEEL,810.8,2023-12-01,796.9
820.0,2023-12,2789349,823.4,JSWSTEEL,819.6,2023-12-04,812.35
816.0,2023-12,1338828,826.0,JSWSTEEL,821.7,2023-12-05,814.2
824.95,2023-12,1543909,833.4,JSWSTEEL,824.7,2023-12-06,815.2
828.95,2023-12,1717648,830.0,JSWSTEEL,819.15,2023-12-07,817.85
824.8,2023-12,7142037,853.45,JSWSTEEL,839.35,2023-12-08,822.1
841.55,2023-12,1630946,847.0,JSWSTEEL,845.1,2023-12-11,831.8
846.6,2023-12,2518863,862.8,JSWSTEEL,853.85,2023-12-12,845.25
854.85,2023-12,2170707,859.2,JSWSTEEL,851.4,2023-12-13,840.0
860.0,2023-12,2711444,861.55,JSWSTEEL,847.4,2023-12-14,845.8
854.05,2023-12,4058044,870.55,JSWSTEEL,867.2,2023-12-15,851.6
844.0,2023-12,4324786,865.55,JSWSTEEL,854.9,2023-12-18,836.15
855.55,2023-12,1285256,861.5,JSWSTEEL,858.7,2023-12-19,847.6
