open,month,volume,high,Ticker,close,date,low
244.35,2023-10,14885044,246.7,NTPC,241.2,2023-10-03,240.55
241.0,2023-10,25424437,241.0,NTPC,235.15,2023-10-04,231.5
237.25,2023-10,22472389,237.4,NTPC,233.85,2023-10-05,232.05
234.25,2023-10,8825123,237.5,NTPC,235.55,2023-10-06,233.65
233.85,2023-10,10659145,236.3,NTPC,234.7,2023-10-09,230.5
234.9,2023-10,11665907,236.85,NTPC,235.9,2023-10-10,233.75
236.25,2023-10,14313043,239.7,NTPC,238.7,2023-10-11,236.0
238.95,2023-10,13170027,242.75,NTPC,241.6,2023-10-12,238.6
240.55,2023-10,11880728,243.8,NTPC,242.05,2023-10-13,239.6
242.85,2023-10,6936948,245.0,NTPC,243.45,2023-10-16,241.0
244.85,2023-10,10084205,247.2,NTPC,245.95,2023-10-17,243.3
245.9,2023-10,6987265,246.8,NTPC,242.0,2023-10-18,241.6
240.2,2023-10,11485237,241.8,NTPC,239.5,2023-10-19,238.5
238.95,2023-10,9040953,242.15,NTPC,241.0,2023-10-20,237.55
240.8,2023-10,7058625,240.9,NTPC,236.55,2023-10-23,235.0
236.0,2023-10,23949207,236.3,NTPC,232.05,2023-10-25,228.35
230.85,2023-10,17410264,233.3,NTPC,231.65,2023-10-26,227.75
232.0,2023-10,10519462,238.45,NTPC,236.6,2023-10-27,232.0
237.45,2023-10,8812268,238.4,NTPC,234.6,2023-10-30,230.65
234.5,2023-10,6583581,237.2,NTPC,235.8,2023-10-31,233.55
236.7,2023-11,6718059,236.7,NTPC,232.6,2023-11-01,232.1
234.2,2023-11,6057787,235.7,NTPC,235.25,2023-11-02,233.75
233.3,2023-11,6825146,235.25,NTPC,234.35,2023-11-03,233.3
235.35,2023-11,5338605,237.2,NTPC,235.85,2023-11-06,234.55
236.3,2023-11,7002346,239.55,NTPC,239.15,2023-11-07,235.2
239.85,2023-11,9777991,240.9,NTPC,236.7,2023-11-08,235.95
237.2,2023-11,13987058,239.7,NTPC,237.95,2023-11-09,236.0
237.85,2023-11,9589671,243.25,NTPC,242.75,2023-11-10,235.8
245.95,2023-11,2515164,246.35,NTPC,244.55,2023-11-12,243.0
244.95,2023-11,18792969,250.6,NTPC,245.7,2023-11-13,243.3
248.95,2023-11,10965645,248.95,NTPC,247.3,2023-11-15,245.95
248.8,2023-11,22145147,254.25,NTPC,252.35,2023-11-16,247.65
253.0,2023-11,5618928,253.1,NTPC,251.6,2023-11-17,251.0
251.0,2023-11,6283832,255.4,NTPC,251.05,2023-11-20,250.3
252.6,2023-11,6851869,252.8,NTPC,250.0,2023-11-21,247.3
250.8,2023-11,5275418,254.0,NTPC,253.65,2023-11-22,249.35
254.0,2023-11,8200025,255.7,NTPC,252.75,2023-11-23,251.7
253.3,2023-11,7149443,256.85,NTPC,253.9,2023-11-24,253.0
254.85,2023-11,6151585,258.3,NTPC,257.55,2023-11-28,253.65
259.55,2023-11,8637363,259.55,NTPC,258.4,2023-11-29,256.1
257.95,2023-11,21687673,261.65,NTPC,261.3,2023-11-30,256.0
262.35,2023-12,29121320,275.45,NTPC,268.95,2023-12-01,261.75
276.0,2023-12,20464526,279.0,NTPC,274.8,2023-12-04,273.25
275.2,2023-12,18883076,286.55,NTPC,285.45,2023-12-05,272.8
288.0,2023-12,13415314,288.25,NTPC,281.1,2023-12-06,278.95
281.85,2023-12,25133786,288.25,NTPC,283.8,2023-12-07,281.3
286.45,2023-12,20815064,291.9,NTPC,285.05,2023-12-08,281.0
286.05,2023-12,8071675,288.5,NTPC,287.3,2023-12-11,284.4
287.45,2023-12,8640883,288.6,NTPC,283.4,2023-12-12,280.85
284.75,2023-12,23629670,294.9,NTPC,294.05,2023-12-13,284.5
297.75,2023-12,24900443,298.5,NTPC,295.4,2023-12-14,293.6
298.0,2023-12,28843558,307.0,NTPC,305.1,2023-12-15,295.0
306.0,2023-12,13307504,306.55,NTPC,303.2,2023-12-18,301.75
305.0,2023-12,15650536,312.5,NTPC,309.65,2023-12-19,302.5
312.5,2023-12,23497233,313.35,NTPC,297.65,2023-12-20,295.15
295.8,2023-12,17868637,303.15,NTPC,301.95,2023-12-21,293.2
304.0,2023-12,15207726,308.95,NTPC,302.8,2023-12-22,299.6
306.45,2023-12,9917180,310.7,NTPC,309.6,2023-12-26,304.6
311.6,2023-12,12630732,312.25,NTPC,306.05,2023-12-27,303.55
309.1,2023-12,37591916,315.5,NTPC,313.9,2023-12-28,307.75
314.35,2023-12,12682889,314.35,NTPC,311.15,2023-12-29,308.15
312.0,2024-01,8024960,313.3,NTPC,309.75,2024-01-01,307.8
310.8,2024-01,13506040,310.8,NTPC,306.0,2024-01-02,302.05
307.2,2024-01,14259987,308.0,NTPC,306.2,2024-01-03,303.3
310.9,2024-01,40057506,321.75,NTPC,317.1,2024-01-04,308.6
322.9,2024-01,27456415,325.65,NTPC,314.95,2024-01-05,312.7
316.45,2024-01,10136462,318.35,NTPC,316.45,2024-01-08,312.6
317.85,2024-01,12229517,321.45,NTPC,319.75,2024-01-09,316.05
319.65,2024-01,14455000,319.75,NTPC,313.35,2024-01-10,308.0
314.95,2024-01,10316319,317.3,NTPC,312.9,2024-01-11,312.35
315.2,2024-01,12341629,315.3,NTPC,312.65,2024-01-12,309.7
314.9,2024-01,9706124,318.0,NTPC,317.3,2024-01-15,309.6
317.25,2024-01,10162832,317.25,NTPC,311.5,2024-01-16,310.15
309.75,2024-01,13502940,314.1,NTPC,309.3,2024-01-17,307.1
308.95,2024-01,32481018,311.3,NTPC,299.3,2024-01-18,296.55
303.8,2024-01,28651237,309.45,NTPC,308.45,2024-01-19,301.7
309.95,2024-01,10652125,314.85,NTPC,308.2,2024-01-20,306.25
313.45,2024-01,21652362,315.3,NTPC,302.6,2024-01-23,300.3
302.95,2024-01,23922028,310.7,NTPC,308.85,2024-01-24,298.25
310.0,2024-01,32525422,317.2,NTPC,314.75,2024-01-25,309.2
317.8,2024-01,24694773,325.75,NTPC,324.55,2024-01-29,316.15
321.85,2024-01,20918448,323.95,NTPC,315.45,2024-01-30,314.5
318.55,2024-01,20931224,320.0,NTPC,317.5,2024-01-31,312.6
320.05,2024-02,24020951,326.95,NTPC,322.0,2024-02-01,317.1
324.0,2024-02,32346639,333.7,NTPC,332.5,2024-02-02,323.1
338.0,2024-02,19651482,341.05,NTPC,336.1,2024-02-05,333.05
336.0,2024-02,12024661,336.0,NTPC,334.2,2024-02-06,329.0
337.9,2024-02,8080437,337.9,NTPC,330.7,2024-02-07,329.65
333.95,2024-02,17754869,335.25,NTPC,330.9,2024-02-08,328.0
332.95,2024-02,18304439,335.0,NTPC,324.9,2024-02-09,319.6
326.15,2024-02,11714289,326.7,NTPC,316.15,2024-02-12,314.5
318.55,2024-02,15426888,323.95,NTPC,321.55,2024-02-13,315.9
320.9,2024-02,14085723,329.35,NTPC,328.0,2024-02-14,318.35
331.0,2024-02,21973316,340.9,NTPC,339.25,2024-02-15,330.15
341.9,2024-02,20307449,342.95,NTPC,337.75,2024-02-16,336.8
340.4,2024-02,8496898,341.9,NTPC,338.75,2024-02-19,337.5
340.6,2024-02,19340526,346.5,NTPC,345.7,2024-02-20,337.8
347.0,2024-02,17751633,348.05,NTPC,336.1,2024-02-21,334.7
339.0,2024-02,16083122,340.25,NTPC,339.55,2024-02-22,330.6
340.0,2024-02,9665454,340.0,NTPC,337.75,2024-02-23,334.85
338.0,2024-02,7711995,338.5,NTPC,337.6,2024-02-26,334.55
336.1,2024-02,8882923,338.0,NTPC,336.1,2024-02-27,334.1
335.7,2024-02,12977628,336.5,NTPC,333.3,2024-02-28,331.8
333.3,2024-02,13149469,336.0,NTPC,335.6,2024-02-29,330.6
335.6,2024-03,13027254,344.35,NTPC,343.5,2024-03-01,335.0
344.3,2024-03,596184,345.0,NTPC,341.75,2024-03-02,334.3
348.0,2024-03,38075510,358.3,NTPC,353.85,2024-03-04,345.75
354.9,2024-03,15918221,359.95,NTPC,358.25,2024-03-05,353.55
359.45,2024-03,13120921,359.45,NTPC,351.95,2024-03-06,345.0
352.0,2024-03,9172926,353.9,NTPC,352.2,2024-03-07,349.7
352.25,2024-03,10664917,353.15,NTPC,347.95,2024-03-11,346.7
348.0,2024-03,9637912,349.45,NTPC,344.75,2024-03-12,342.55
343.85,2024-03,23722232,344.5,NTPC,322.5,2024-03-13,319.5
321.05,2024-03,20859127,326.95,NTPC,321.85,2024-03-14,316.5
322.65,2024-03,43285007,326.05,NTPC,316.3,2024-03-15,305.75
317.1,2024-03,13690352,322.9,NTPC,317.15,2024-03-18,314.95
314.3,2024-03,13388060,317.9,NTPC,313.45,2024-03-19,310.1
316.0,2024-03,10026655,317.45,NTPC,313.65,2024-03-20,308.3
317.25,2024-03,23370426,326.35,NTPC,325.0,2024-03-21,317.0
324.5,2024-03,14709219,327.25,NTPC,324.75,2024-03-22,321.15
320.1,2024-03,11208959,330.3,NTPC,329.1,2024-03-26,320.1
332.0,2024-03,45209520,334.1,NTPC,331.6,2024-03-27,326.3
331.9,2024-03,19868037,340.0,NTPC,335.8,2024-03-28,330.3
339.0,2024-04,8580656,344.4,NTPC,342.35,2024-04-01,336.15
343.0,2024-04,9745257,345.6,NTPC,344.8,2024-04-02,340.75
344.35,2024-04,21679943,354.1,NTPC,351.25,2024-04-03,342.0
355.0,2024-04,28962927,362.7,NTPC,354.65,2024-04-04,352.65
356.4,2024-04,11208130,358.2,NTPC,354.55,2024-04-05,351.55
355.6,2024-04,11447140,366.0,NTPC,363.5,2024-04-08,353.25
365.0,2024-04,10010148,366.9,NTPC,362.9,2024-04-09,360.35
364.1,2024-04,12886638,368.35,NTPC,362.5,2024-04-10,361.35
362.5,2024-04,30924494,374.5,NTPC,361.75,2024-04-12,361.0
355.5,2024-04,18126999,366.0,NTPC,361.15,2024-04-15,352.8
361.0,2024-04,15328939,361.95,NTPC,359.25,2024-04-16,354.6
359.55,2024-04,22966560,361.25,NTPC,351.15,2024-04-18,349.2
343.1,2024-04,12867942,352.4,NTPC,350.55,2024-04-19,343.0
355.0,2024-04,37382916,355.0,NTPC,342.9,2024-04-22,341.9
346.0,2024-04,14651106,348.65,NTPC,347.15,2024-04-23,344.0
349.8,2024-04,11132307,353.15,NTPC,351.65,2024-04-24,347.3
351.0,2024-04,19865014,360.6,NTPC,359.2,2024-04-25,349.1
360.7,2024-04,10986589,361.4,NTPC,356.0,2024-04-26,355.0
359.7,2024-04,13652173,363.65,NTPC,363.0,2024-04-29,356.95
364.95,2024-04,14566548,365.45,NTPC,363.2,2024-04-30,359.3
363.2,2024-05,27892188,372.6,NTPC,369.05,2024-05-02,363.2
372.3,2024-05,26844664,380.4,NTPC,364.95,2024-05-03,360.35
367.8,2024-05,15319437,368.85,NTPC,356.8,2024-05-06,354.4
358.25,2024-05,10028071,358.45,NTPC,349.15,2024-05-07,346.85
345.2,2024-05,9595776,358.5,NTPC,355.45,2024-05-08,345.2
356.5,2024-05,9043486,358.0,NTPC,346.05,2024-05-09,344.85
347.65,2024-05,11699095,356.35,NTPC,355.5,2024-05-10,347.55
355.5,2024-05,10691781,356.0,NTPC,350.9,2024-05-13,346.5
350.55,2024-05,10891985,357.25,NTPC,355.8,2024-05-14,350.3
357.5,2024-05,8538183,363.5,NTPC,361.35,2024-05-15,356.65
363.85,2024-05,13114162,363.85,NTPC,361.45,2024-05-16,353.05
362.45,2024-05,8509179,366.5,NTPC,365.45,2024-05-17,360.35
367.95,2024-05,1050300,368.0,NTPC,366.3,2024-05-18,365.0
367.0,2024-05,10939593,374.1,NTPC,372.0,2024-05-21,365.35
375.0,2024-05,14001806,377.35,NTPC,373.85,2024-05-22,370.6
375.05,2024-05,15370357,375.6,NTPC,372.3,2024-05-23,369.5
373.0,2024-05,13317821,378.15,NTPC,374.95,2024-05-24,368.7
379.95,2024-05,21891930,380.5,NTPC,369.65,2024-05-27,368.0
372.6,2024-05,10200096,373.25,NTPC,365.4,2024-05-28,364.1
361.5,2024-05,18146672,366.35,NTPC,364.6,2024-05-29,360.0
364.0,2024-05,14425073,364.8,NTPC,359.7,2024-05-30,357.15
363.45,2024-05,30515612,366.65,NTPC,359.0,2024-05-31,355.5
385.0,2024-06,39261174,393.2,NTPC,391.8,2024-06-03,373.45
391.9,2024-06,84042244,391.9,NTPC,331.25,2024-06-04,313.95
340.0,2024-06,46418629,342.25,NTPC,341.0,2024-06-05,315.3
347.8,2024-06,33171039,359.75,NTPC,349.75,2024-06-06,345.0
352.0,2024-06,23930193,362.0,NTPC,360.6,2024-06-07,347.7
365.0,2024-06,16072588,370.1,NTPC,364.9,2024-06-10,361.8
368.75,2024-06,11235777,371.95,NTPC,367.4,2024-06-11,364.9
369.55,2024-06,12134524,374.0,NTPC,371.3,2024-06-12,365.4
376.4,2024-06,11243702,376.4,NTPC,369.95,2024-06-13,367.95
370.0,2024-06,10298434,370.85,NTPC,368.45,2024-06-14,366.1
371.8,2024-06,10228382,372.25,NTPC,369.65,2024-06-18,368.7
369.8,2024-06,8337334,370.9,NTPC,362.5,2024-06-19,361.55
362.5,2024-06,14338604,364.9,NTPC,357.65,2024-06-20,357.05
359.95,2024-06,17931844,362.95,NTPC,359.8,2024-06-21,356.75
357.6,2024-06,9335598,364.65,NTPC,362.75,2024-06-24,355.55
364.25,2024-06,14983828,364.7,NTPC,360.85,2024-06-25,357.75
363.0,2024-06,15918394,366.9,NTPC,365.05,2024-06-26,359.65
365.05,2024-06,55378829,381.1,NTPC,377.15,2024-06-27,364.1
377.95,2024-06,25141039,389.5,NTPC,378.35,2024-06-28,376.7
381.75,2024-07,23389211,382.0,NTPC,369.75,2024-07-01,367.8
372.6,2024-07,13702830,372.6,NTPC,370.4,2024-07-02,365.15
370.55,2024-07,9207317,374.25,NTPC,372.65,2024-07-03,368.65
373.9,2024-07,14916930,380.85,NTPC,372.95,2024-07-04,371.75
374.35,2024-07,15946104,381.25,NTPC,379.8,2024-07-05,371.0
380.85,2024-07,8898299,381.25,NTPC,377.45,2024-07-08,376.15
379.2,2024-07,8355819,380.25,NTPC,377.05,2024-07-09,375.05
378.8,2024-07,17715196,383.8,NTPC,381.4,2024-07-10,370.0
382.4,2024-07,19873143,383.3,NTPC,377.1,2024-07-11,374.6
378.95,2024-07,16151583,379.4,NTPC,377.15,2024-07-12,372.0
378.6,2024-07,22951140,388.95,NTPC,385.65,2024-07-15,376.9
386.65,2024-07,11893034,388.75,NTPC,380.45,2024-07-16,380.0
382.9,2024-07,15709153,382.9,NTPC,377.75,2024-07-18,374.2
377.75,2024-07,13330099,378.0,NTPC,364.65,2024-07-19,362.9
364.75,2024-07,18715538,377.25,NTPC,373.5,2024-07-22,362.35
376.7,2024-07,49882257,385.65,NTPC,382.45,2024-07-23,361.55
384.1,2024-07,36868466,395.0,NTPC,392.6,2024-07-24,381.7
390.95,2024-07,25973101,396.3,NTPC,392.15,2024-07-25,386.25
394.95,2024-07,20381410,399.5,NTPC,396.3,2024-07-26,389.7
404.0,2024-07,27751449,408.3,NTPC,393.9,2024-07-29,392.65
397.0,2024-07,34447139,412.7,NTPC,406.95,2024-07-30,397.0
409.5,2024-07,29727771,417.4,NTPC,416.0,2024-07-31,408.55
419.9,2024-08,28803487,424.35,NTPC,423.45,2024-08-01,415.6
416.25,2024-08,24233263,426.3,NTPC,419.7,2024-08-02,413.35
407.65,2024-08,42489503,415.65,NTPC,413.25,2024-08-05,404.65
413.25,2024-08,18230579,424.95,NTPC,415.0,2024-08-06,413.25
421.0,2024-08,15556736,421.0,NTPC,416.3,2024-08-07,415.0
416.35,2024-08,16447385,417.0,NTPC,407.7,2024-08-08,405.8
413.8,2024-08,10954753,416.35,NTPC,410.65,2024-08-09,408.2
410.0,2024-08,26254763,410.0,NTPC,400.85,2024-08-12,400.1
403.0,2024-08,11355664,404.5,NTPC,396.2,2024-08-13,395.0
398.9,2024-08,9424614,400.0,NTPC,396.35,2024-08-14,393.65
398.05,2024-08,13844122,400.95,NTPC,398.05,2024-08-16,393.3
402.3,2024-08,10677045,407.5,NTPC,403.1,2024-08-19,401.45
404.55,2024-08,10126083,408.2,NTPC,406.25,2024-08-20,403.1
407.5,2024-08,9726854,409.7,NTPC,408.95,2024-08-21,405.2
409.8,2024-08,10445288,410.05,NTPC,403.35,2024-08-22,402.25
403.35,2024-08,11513586,405.9,NTPC,401.95,2024-08-23,399.55
402.45,2024-08,13772637,415.95,NTPC,414.85,2024-08-26,401.95
415.5,2024-08,8441188,416.2,NTPC,409.65,2024-08-27,409.1
410.05,2024-08,15884745,414.4,NTPC,409.05,2024-08-28,407.35
409.05,2024-08,19014705,412.6,NTPC,409.9,2024-08-29,403.75
412.7,2024-08,22633988,419.2,NTPC,416.2,2024-08-30,411.5
417.8,2024-09,11107165,419.1,NTPC,410.0,2024-09-02,407.7
410.5,2024-09,7538160,411.55,NTPC,406.4,2024-09-03,405.6
400.0,2024-09,11052003,408.25,NTPC,405.1,2024-09-04,399.9
405.35,2024-09,14246871,408.4,NTPC,403.25,2024-09-05,401.85
403.25,2024-09,17956121,404.65,NTPC,394.8,2024-09-06,392.7
391.2,2024-09,12293356,392.75,NTPC,389.85,2024-09-09,385.3
390.1,2024-09,15852309,399.4,NTPC,396.3,2024-09-10,389.75
399.0,2024-09,11492592,399.3,NTPC,389.65,2024-09-11,387.5
391.0,2024-09,24028069,406.25,NTPC,404.85,2024-09-12,390.65
404.85,2024-09,12017217,407.3,NTPC,401.4,2024-09-13,399.35
402.45,2024-09,11479712,412.0,NTPC,411.1,2024-09-16,402.0
411.85,2024-09,14432501,417.65,NTPC,416.3,2024-09-17,410.1
418.5,2024-09,10303840,419.75,NTPC,414.15,2024-09-18,413.0
424.0,2024-09,59601773,431.85,NTPC,423.95,2024-09-19,420.55
428.05,2024-09,36084164,429.85,NTPC,423.95,2024-09-20,416.55
427.5,2024-09,14139629,430.5,NTPC,428.35,2024-09-23,425.0
431.45,2024-09,12539885,431.45,NTPC,428.1,2024-09-24,427.0
428.1,2024-09,19443168,437.0,NTPC,436.1,2024-09-25,425.65
437.95,2024-09,20041825,437.95,NTPC,434.6,2024-09-26,430.55
436.0,2024-09,53885913,442.5,NTPC,436.9,2024-09-27,433.5
436.9,2024-09,20903229,448.45,NTPC,443.2,2024-09-30,433.6
446.0,2024-10,15984996,447.75,NTPC,440.1,2024-10-01,438.8
432.0,2024-10,13563784,442.5,NTPC,435.35,2024-10-03,432.0
432.9,2024-10,18347292,439.35,NTPC,430.45,2024-10-04,426.3
430.6,2024-10,23431004,433.0,NTPC,415.45,2024-10-07,409.05
414.0,2024-10,18706355,427.7,NTPC,420.95,2024-10-08,411.3
424.45,2024-10,13916492,424.75,NTPC,418.45,2024-10-09,417.0
420.7,2024-10,15866037,429.9,NTPC,422.7,2024-10-10,420.5
423.95,2024-10,8639087,426.65,NTPC,422.5,2024-10-11,419.6
424.6,2024-10,8483177,426.0,NTPC,424.5,2024-10-14,420.0
426.65,2024-10,9365964,427.2,NTPC,426.6,2024-10-15,423.55
425.3,2024-10,6219440,429.4,NTPC,424.25,2024-10-16,421.25
423.65,2024-10,11968387,425.6,NTPC,417.75,2024-10-17,416.6
417.7,2024-10,8828971,425.95,NTPC,424.95,2024-10-18,414.45
426.05,2024-10,9139781,428.75,NTPC,425.0,2024-10-21,419.1
422.85,2024-10,14242323,426.3,NTPC,415.75,2024-10-22,413.45
414.0,2024-10,22522821,414.75,NTPC,408.3,2024-10-23,401.7
