open,month,volume,high,Ticker,close,date,low
189.3,2023-10,22118500,189.3,ONGC,184.6,2023-10-03,183.65
184.45,2023-10,9360058,184.6,ONGC,182.75,2023-10-04,182.1
181.25,2023-10,11128340,184.0,ONGC,182.2,2023-10-05,181.0
183.5,2023-10,5759904,183.5,ONGC,181.45,2023-10-06,180.6
182.9,2023-10,14622727,184.7,ONGC,181.7,2023-10-09,181.25
182.3,2023-10,11819690,184.5,ONGC,183.5,2023-10-10,182.05
184.4,2023-10,8499601,184.7,ONGC,183.25,2023-10-11,182.75
183.2,2023-10,8677885,184.85,ONGC,184.45,2023-10-12,183.0
184.5,2023-10,7435899,186.25,ONGC,184.9,2023-10-13,184.05
187.95,2023-10,12376549,188.2,ONGC,186.55,2023-10-16,186.25
187.0,2023-10,4381065,187.05,ONGC,186.25,2023-10-17,185.55
188.0,2023-10,10181113,188.05,ONGC,186.95,2023-10-18,186.05
186.0,2023-10,9148124,186.65,ONGC,186.3,2023-10-19,185.05
187.0,2023-10,7912216,187.3,ONGC,186.2,2023-10-20,185.15
185.95,2023-10,4723090,185.95,ONGC,184.85,2023-10-23,184.2
184.85,2023-10,6812004,185.85,ONGC,184.35,2023-10-25,183.0
183.5,2023-10,8474867,184.15,ONGC,180.9,2023-10-26,179.9
181.0,2023-10,6422123,185.8,ONGC,184.75,2023-10-27,180.3
185.0,2023-10,7352638,189.2,ONGC,188.8,2023-10-30,184.6
189.2,2023-10,9404675,189.8,ONGC,186.15,2023-10-31,184.2
186.15,2023-11,9167869,188.8,ONGC,186.7,2023-11-01,185.05
187.0,2023-11,11471209,187.65,ONGC,186.2,2023-11-02,185.75
186.65,2023-11,7464912,190.65,ONGC,190.0,2023-11-03,185.8
190.2,2023-11,8962124,194.2,ONGC,193.3,2023-11-06,189.55
193.4,2023-11,13921916,198.0,ONGC,193.2,2023-11-07,192.35
193.7,2023-11,10186886,196.55,ONGC,195.35,2023-11-08,192.3
196.5,2023-11,5303833,196.7,ONGC,192.7,2023-11-09,192.2
192.7,2023-11,6025889,196.5,ONGC,195.9,2023-11-10,192.7
198.8,2023-11,2988611,198.8,ONGC,196.75,2023-11-12,195.9
195.9,2023-11,11181086,197.3,ONGC,195.8,2023-11-13,194.1
198.5,2023-11,19769385,203.0,ONGC,199.5,2023-11-15,197.65
202.5,2023-11,18629240,203.4,ONGC,201.8,2023-11-16,201.0
200.85,2023-11,13199928,201.25,ONGC,196.35,2023-11-17,195.55
198.0,2023-11,6423265,198.5,ONGC,197.85,2023-11-20,197.0
193.0,2023-11,10720353,193.95,ONGC,191.2,2023-11-21,191.0
191.2,2023-11,7538825,191.85,ONGC,191.0,2023-11-22,189.75
191.0,2023-11,6541617,191.75,ONGC,190.65,2023-11-23,189.6
190.85,2023-11,5751331,191.85,ONGC,188.85,2023-11-24,188.15
188.85,2023-11,9277764,194.45,ONGC,193.95,2023-11-28,188.4
195.5,2023-11,8791333,195.5,ONGC,192.0,2023-11-29,191.7
192.65,2023-11,14965403,195.65,ONGC,194.95,2023-11-30,192.05
195.25,2023-12,9935740,198.25,ONGC,194.55,2023-12-01,194.25
196.5,2023-12,28615290,205.9,ONGC,202.05,2023-12-04,196.05
202.2,2023-12,14557746,203.95,ONGC,202.05,2023-12-05,199.15
203.75,2023-12,12662213,203.75,ONGC,201.95,2023-12-06,199.1
200.9,2023-12,16425880,200.9,ONGC,198.9,2023-12-07,196.05
199.85,2023-12,10414387,200.3,ONGC,195.95,2023-12-08,194.1
197.05,2023-12,10108266,200.85,ONGC,197.8,2023-12-11,194.25
196.95,2023-12,10719911,197.8,ONGC,195.4,2023-12-12,194.55
195.4,2023-12,10892122,195.4,ONGC,193.15,2023-12-13,192.05
195.9,2023-12,15257294,196.3,ONGC,195.95,2023-12-14,193.25
197.25,2023-12,22863981,201.95,ONGC,201.05,2023-12-15,196.85
