open,month,volume,high,Ticker,close,date,low
198.75,2023-10,10830728,200.0,POWERGRID,199.55,2023-10-03,196.9
198.9,2023-10,14120040,199.4,POWERGRID,199.0,2023-10-04,195.4
199.5,2023-10,14575590,199.5,POWERGRID,196.6,2023-10-05,195.35
197.0,2023-10,12857229,197.45,POWERGRID,197.05,2023-10-06,194.85
196.5,2023-10,7853369,196.9,POWERGRID,196.25,2023-10-09,193.75
196.25,2023-10,7440527,198.55,POWERGRID,197.95,2023-10-10,195.7
197.35,2023-10,10031916,199.15,POWERGRID,198.5,2023-10-11,197.35
197.35,2023-10,21872719,202.0,POWERGRID,200.75,2023-10-12,197.35
200.45,2023-10,13105921,202.4,POWERGRID,201.8,2023-10-13,199.3
200.3,2023-10,18336656,203.85,POWERGRID,203.05,2023-10-16,200.1
203.55,2023-10,19378328,209.0,POWERGRID,207.15,2023-10-17,202.6
208.45,2023-10,14923328,208.45,POWERGRID,206.5,2023-10-18,204.0
204.0,2023-10,13192888,207.4,POWERGRID,205.8,2023-10-19,202.2
205.2,2023-10,22081120,205.2,POWERGRID,202.85,2023-10-20,200.9
202.0,2023-10,6988219,205.15,POWERGRID,199.75,2023-10-23,199.0
199.0,2023-10,16817158,200.45,POWERGRID,199.5,2023-10-25,197.8
198.75,2023-10,11070090,200.0,POWERGRID,198.95,2023-10-26,196.3
199.25,2023-10,9995487,201.8,POWERGRID,200.95,2023-10-27,199.15
200.95,2023-10,7679981,202.2,POWERGRID,200.85,2023-10-30,197.65
201.5,2023-10,7474770,202.95,POWERGRID,202.15,2023-10-31,200.55
202.35,2023-11,5598615,202.35,POWERGRID,200.95,2023-11-01,200.5
201.75,2023-11,12924797,203.65,POWERGRID,203.1,2023-11-02,200.9
203.4,2023-11,8684015,206.5,POWERGRID,204.4,2023-11-03,203.1
205.0,2023-11,9804415,208.95,POWERGRID,208.2,2023-11-06,204.95
208.2,2023-11,10730361,209.1,POWERGRID,208.0,2023-11-07,205.75
209.0,2023-11,7435543,209.6,POWERGRID,207.0,2023-11-08,206.65
207.3,2023-11,13777877,210.5,POWERGRID,209.8,2023-11-09,206.1
210.5,2023-11,12066023,213.0,POWERGRID,211.15,2023-11-10,209.6
213.6,2023-11,1008214,213.7,POWERGRID,212.0,2023-11-12,211.7
212.0,2023-11,11352269,215.1,POWERGRID,212.3,2023-11-13,210.7
215.0,2023-11,19182861,215.0,POWERGRID,210.15,2023-11-15,209.8
206.7,2023-11,27533260,208.85,POWERGRID,207.2,2023-11-16,205.7
207.7,2023-11,16705395,210.7,POWERGRID,209.5,2023-11-17,206.9
210.1,2023-11,11156900,211.2,POWERGRID,209.3,2023-11-20,208.85
210.0,2023-11,9608081,210.15,POWERGRID,208.95,2023-11-21,207.95
208.2,2023-11,13079580,212.6,POWERGRID,211.6,2023-11-22,208.2
212.05,2023-11,11382709,213.1,POWERGRID,210.9,2023-11-23,209.25
211.3,2023-11,7250200,212.1,POWERGRID,210.45,2023-11-24,209.5
214.45,2023-11,15629209,214.45,POWERGRID,210.2,2023-11-28,209.5
210.3,2023-11,10062023,211.45,POWERGRID,211.05,2023-11-29,209.1
210.4,2023-11,60354322,212.8,POWERGRID,208.95,2023-11-30,208.25
211.5,2023-12,20719909,212.45,POWERGRID,210.2,2023-12-01,209.45
211.7,2023-12,27914088,214.1,POWERGRID,212.9,2023-12-04,211.7
213.7,2023-12,40709207,223.25,POWERGRID,222.3,2023-12-05,211.55
226.0,2023-12,29544730,226.25,POWERGRID,224.4,2023-12-06,222.5
225.0,2023-12,24534268,232.4,POWERGRID,230.0,2023-12-07,224.25
231.8,2023-12,22206320,233.4,POWERGRID,228.6,2023-12-08,226.45
228.0,2023-12,19106395,232.9,POWERGRID,230.95,2023-12-11,226.55
230.0,2023-12,14355329,233.3,POWERGRID,231.35,2023-12-12,229.5
231.0,2023-12,26878281,237.5,POWERGRID,236.95,2023-12-13,230.6
237.25,2023-12,29972018,237.6,POWERGRID,232.1,2023-12-14,231.1
235.0,2023-12,41341690,238.1,POWERGRID,237.35,2023-12-15,227.15
236.9,2023-12,29051897,236.9,POWERGRID,231.85,2023-12-18,231.45
232.15,2023-12,12612164,234.4,POWERGRID,233.55,2023-12-19,230.85
234.95,2023-12,20400245,235.4,POWERGRID,227.15,2023-12-20,226.2
224.45,2023-12,17755207,233.2,POWERGRID,232.35,2023-12-21,222.7
233.0,2023-12,9735375,234.2,POWERGRID,231.75,2023-12-22,230.5
232.0,2023-12,6772092,235.8,POWERGRID,233.35,2023-12-26,231.05
235.0,2023-12,10231881,235.85,POWERGRID,234.05,2023-12-27,232.5
235.1,2023-12,39164340,239.95,POWERGRID,239.1,2023-12-28,234.1
237.8,2023-12,12665999,238.25,POWERGRID,237.2,2023-12-29,234.75
237.9,2024-01,5952776,239.5,POWERGRID,238.25,2024-01-01,236.4
240.0,2024-01,9128513,240.1,POWERGRID,237.85,2024-01-02,236.15
236.0,2024-01,8284439,238.7,POWERGRID,237.05,2024-01-03,234.6
238.0,2024-01,19663959,243.1,POWERGRID,241.45,2024-01-04,237.05
242.0,2024-01,16345257,245.0,POWERGRID,241.25,2024-01-05,239.3
242.4,2024-01,13585746,245.25,POWERGRID,242.35,2024-01-08,240.4
242.6,2024-01,8688409,244.65,POWERGRID,242.3,2024-01-09,241.5
241.0,2024-01,16872195,242.1,POWERGRID,239.15,2024-01-10,238.0
240.25,2024-01,18812468,243.1,POWERGRID,241.95,2024-01-11,239.2
242.5,2024-01,11296498,242.65,POWERGRID,239.5,2024-01-12,238.8
240.4,2024-01,12597366,241.5,POWERGRID,241.15,2024-01-15,237.0
241.65,2024-01,7478450,242.4,POWERGRID,239.05,2024-01-16,237.7
238.5,2024-01,13620300,241.2,POWERGRID,239.2,2024-01-17,237.7
227.25,2024-01,25522629,235.7,POWERGRID,233.45,2024-01-18,226.05
235.0,2024-01,20931080,236.95,POWERGRID,235.4,2024-01-19,232.4
238.0,2024-01,6491870,240.8,POWERGRID,237.2,2024-01-20,236.5
241.0,2024-01,27492163,246.8,POWERGRID,237.95,2024-01-23,236.25
236.15,2024-01,28309825,247.0,POWERGRID,246.2,2024-01-24,235.0
244.75,2024-01,20651484,248.7,POWERGRID,245.5,2024-01-25,243.1
245.45,2024-01,26181011,255.0,POWERGRID,253.95,2024-01-29,245.15
254.0,2024-01,16031367,256.95,POWERGRID,254.1,2024-01-30,251.5
254.0,2024-01,34369455,260.0,POWERGRID,259.3,2024-01-31,252.4
259.0,2024-02,29929092,270.95,POWERGRID,265.8,2024-02-01,258.3
264.5,2024-02,33900724,281.4,POWERGRID,277.1,2024-02-02,263.95
277.5,2024-02,27440927,289.4,POWERGRID,282.9,2024-02-05,274.9
282.9,2024-02,29668277,282.9,POWERGRID,274.25,2024-02-06,272.3
272.1,2024-02,27335466,274.4,POWERGRID,267.95,2024-02-07,266.8
270.8,2024-02,69776717,288.05,POWERGRID,276.2,2024-02-08,270.8
278.6,2024-02,24496638,279.45,POWERGRID,273.0,2024-02-09,269.1
273.2,2024-02,19140023,276.0,POWERGRID,270.3,2024-02-12,266.25
270.3,2024-02,22031847,270.85,POWERGRID,270.25,2024-02-13,264.25
269.5,2024-02,13546941,275.0,POWERGRID,273.65,2024-02-14,267.0
272.0,2024-02,25475670,283.35,POWERGRID,281.65,2024-02-15,271.35
282.0,2024-02,25129188,282.9,POWERGRID,274.55,2024-02-16,273.3
275.1,2024-02,11429901,278.3,POWERGRID,276.35,2024-02-19,273.3
