open,month,volume,high,Ticker,close,date,low
596.6,2023-10,15322196,604.9,SBIN,602.95,2023-10-03,589.6
600.0,2023-10,24914612,600.45,SBIN,586.25,2023-10-04,584.45
590.0,2023-10,13248028,594.35,SBIN,592.15,2023-10-05,587.1
593.4,2023-10,8216780,598.95,SBIN,594.25,2023-10-06,592.2
588.0,2023-10,9189597,589.0,SBIN,585.1,2023-10-09,581.55
587.0,2023-10,10373508,595.0,SBIN,591.65,2023-10-10,585.75
596.9,2023-10,14220119,597.0,SBIN,588.35,2023-10-11,587.6
590.8,2023-10,11983797,593.0,SBIN,586.05,2023-10-12,585.0
577.75,2023-10,19064577,581.3,SBIN,576.15,2023-10-13,574.8
576.0,2023-10,11290293,578.75,SBIN,575.65,2023-10-16,571.5
577.7,2023-10,10765224,579.95,SBIN,576.45,2023-10-17,575.3
577.75,2023-10,11777454,579.25,SBIN,572.65,2023-10-18,569.35
569.8,2023-10,11441499,574.0,SBIN,571.2,2023-10-19,567.0
569.9,2023-10,11110988,570.0,SBIN,563.1,2023-10-20,562.1
563.1,2023-10,11875035,566.0,SBIN,552.95,2023-10-23,551.0
558.6,2023-10,12134624,560.8,SBIN,556.2,2023-10-25,553.6
551.45,2023-10,19424825,552.9,SBIN,547.0,2023-10-26,543.2
550.0,2023-10,10415296,562.5,SBIN,561.15,2023-10-27,550.0
563.0,2023-10,8593704,566.7,SBIN,565.2,2023-10-30,556.5
567.0,2023-10,13039696,569.5,SBIN,565.55,2023-10-31,563.15
566.25,2023-11,13575575,569.65,SBIN,566.4,2023-11-01,563.85
571.1,2023-11,11148516,575.45,SBIN,572.1,2023-11-02,567.6
576.0,2023-11,11371371,579.5,SBIN,578.15,2023-11-03,573.45
582.0,2023-11,16499138,582.5,SBIN,574.35,2023-11-06,573.25
574.8,2023-11,17923281,581.2,SBIN,579.75,2023-11-07,572.6
581.9,2023-11,15434808,582.6,SBIN,580.3,2023-11-08,579.0
581.0,2023-11,12434363,581.85,SBIN,578.35,2023-11-09,576.5
577.8,2023-11,6773038,581.0,SBIN,579.5,2023-11-10,575.4
584.75,2023-11,1947722,584.75,SBIN,581.3,2023-11-12,580.1
581.0,2023-11,11282362,582.5,SBIN,581.35,2023-11-13,575.2
587.25,2023-11,11397676,588.0,SBIN,584.7,2023-11-15,582.6
584.7,2023-11,8622660,588.0,SBIN,584.65,2023-11-16,582.9
574.5,2023-11,37173221,574.5,SBIN,563.05,2023-11-17,562.1
564.0,2023-11,12714585,566.8,SBIN,563.75,2023-11-20,560.6
566.0,2023-11,14280013,566.65,SBIN,561.5,2023-11-21,561.0
562.95,2023-11,14909071,564.5,SBIN,558.95,2023-11-22,555.15
561.75,2023-11,6376210,563.5,SBIN,559.95,2023-11-23,558.3
561.95,2023-11,6529851,562.45,SBIN,560.35,2023-11-24,559.25
563.6,2023-11,8153314,565.2,SBIN,564.45,2023-11-28,561.1
568.0,2023-11,10299034,569.0,SBIN,568.6,2023-11-29,565.1
569.75,2023-11,19758998,570.2,SBIN,564.75,2023-11-30,563.65
567.0,2023-12,10614230,574.2,SBIN,571.75,2023-12-01,566.55
588.0,2023-12,26077882,596.0,SBIN,594.7,2023-12-04,584.55
595.05,2023-12,36430152,611.3,SBIN,608.25,2023-12-05,595.05
614.0,2023-12,21439069,614.0,SBIN,608.45,2023-12-06,604.55
610.0,2023-12,10725706,612.55,SBIN,611.7,2023-12-07,605.0
610.0,2023-12,17722136,616.8,SBIN,614.15,2023-12-08,605.35
615.0,2023-12,11706255,619.9,SBIN,614.25,2023-12-11,613.1
617.0,2023-12,14494836,617.95,SBIN,612.4,2023-12-12,610.8
614.45,2023-12,13977914,620.5,SBIN,619.85,2023-12-13,611.65
626.0,2023-12,15813797,627.75,SBIN,623.65,2023-12-14,622.4
628.0,2023-12,29813572,650.0,SBIN,648.25,2023-12-15,619.85
646.65,2023-12,16221796,655.65,SBIN,648.5,2023-12-18,642.4
648.5,2023-12,19964008,659.6,SBIN,655.4,2023-12-19,640.25
658.7,2023-12,22542056,660.4,SBIN,636.45,2023-12-20,633.95
632.15,2023-12,19915516,648.95,SBIN,643.75,2023-12-21,627.5
644.75,2023-12,14998068,649.4,SBIN,636.75,2023-12-22,635.15
638.85,2023-12,10153089,641.3,SBIN,638.05,2023-12-26,635.65
640.75,2023-12,14417646,649.45,SBIN,648.55,2023-12-27,639.0
650.25,2023-12,16982092,653.3,SBIN,651.4,2023-12-28,646.5
645.5,2023-12,13221898,649.6,SBIN,642.05,2023-12-29,639.55
642.2,2024-01,8295548,646.9,SBIN,641.35,2024-01-01,638.0
641.35,2024-01,15164482,648.0,SBIN,639.45,2024-01-02,633.85
639.35,2024-01,14571772,648.0,SBIN,643.45,2024-01-03,635.8
642.5,2024-01,13883388,646.4,SBIN,642.75,2024-01-04,638.65
645.0,2024-01,15984585,651.75,SBIN,641.95,2024-01-05,637.75
640.0,2024-01,14739531,645.0,SBIN,627.0,2024-01-08,625.05
632.0,2024-01,13400235,634.35,SBIN,625.4,2024-01-09,624.5
624.8,2024-01,12742464,625.3,SBIN,621.75,2024-01-10,618.2
626.0,2024-01,15533860,627.15,SBIN,620.2,2024-01-11,618.5
623.8,2024-01,16620797,636.5,SBIN,633.6,2024-01-12,621.1
638.9,2024-01,16844018,645.5,SBIN,640.1,2024-01-15,636.1
640.0,2024-01,15025543,644.9,SBIN,636.9,2024-01-16,633.45
624.0,2024-01,30016308,636.8,SBIN,626.0,2024-01-17,623.0
625.8,2024-01,14695436,633.45,SBIN,628.3,2024-01-18,619.05
633.0,2024-01,11675202,635.5,SBIN,627.75,2024-01-19,624.7
629.0,2024-01,9886760,633.8,SBIN,631.4,2024-01-20,624.1
627.0,2024-01,30954343,634.9,SBIN,605.1,2024-01-23,600.65
609.95,2024-01,19221835,622.35,SBIN,618.3,2024-01-24,603.1
618.5,2024-01,22684904,623.8,SBIN,612.75,2024-01-25,606.25
619.0,2024-01,19572140,629.5,SBIN,622.95,2024-01-29,615.6
625.45,2024-01,16966577,633.5,SBIN,626.75,2024-01-30,624.2
626.4,2024-01,23270745,643.2,SBIN,640.5,2024-01-31,622.0
642.75,2024-02,26587707,652.95,SBIN,647.65,2024-02-01,633.25
652.0,2024-02,27471811,660.55,SBIN,649.65,2024-02-02,646.7
647.1,2024-02,28339525,654.8,SBIN,642.95,2024-02-05,638.75
