open,month,volume,high,Ticker,close,date,low
859.32,2023-10,1168848,868.75,TATACONSUM,861.2,2023-10-03,853.49
856.36,2023-10,615431,859.17,TATACONSUM,854.13,2023-10-04,844.5
855.42,2023-10,740770,858.58,TATACONSUM,849.64,2023-10-05,846.97
850.43,2023-10,948330,866.73,TATACONSUM,864.01,2023-10-06,850.43
857.34,2023-10,1186046,873.0,TATACONSUM,869.84,2023-10-09,856.16
874.13,2023-10,859825,881.44,TATACONSUM,877.84,2023-10-10,870.92
884.01,2023-10,1049520,886.19,TATACONSUM,877.49,2023-10-11,875.32
877.99,2023-10,765845,883.17,TATACONSUM,881.39,2023-10-12,872.36
879.32,2023-10,5057274,906.73,TATACONSUM,902.14,2023-10-13,877.94
906.53,2023-10,1506213,906.53,TATACONSUM,897.45,2023-10-16,894.93
900.85,2023-10,3188856,916.61,TATACONSUM,896.7,2023-10-17,894.04
901.25,2023-10,1203949,903.77,TATACONSUM,884.7,2023-10-18,881.15
885.0,2023-10,1412913,889.35,TATACONSUM,884.41,2023-10-19,868.26
881.0,2023-10,2267132,890.73,TATACONSUM,887.91,2023-10-20,877.74
887.72,2023-10,961166,894.93,TATACONSUM,872.26,2023-10-23,869.44
872.46,2023-10,1513164,883.47,TATACONSUM,879.07,2023-10-25,871.52
872.41,2023-10,1942505,876.06,TATACONSUM,869.54,2023-10-26,861.29
869.2,2023-10,787716,883.52,TATACONSUM,880.16,2023-10-27,865.25
875.12,2023-10,1133453,885.0,TATACONSUM,882.58,2023-10-30,869.39
888.46,2023-10,1069220,892.31,TATACONSUM,889.44,2023-10-31,881.05
894.88,2023-11,2645858,908.71,TATACONSUM,892.06,2023-11-01,884.7
898.98,2023-11,1069223,906.43,TATACONSUM,900.06,2023-11-02,892.46
900.8,2023-11,890838,908.01,TATACONSUM,902.48,2023-11-03,900.06
905.5,2023-11,733260,912.36,TATACONSUM,907.37,2023-11-06,904.75
908.71,2023-11,809657,912.36,TATACONSUM,910.73,2023-11-07,901.79
911.17,2023-11,1077038,918.04,TATACONSUM,905.05,2023-11-08,902.93
905.05,2023-11,3155135,907.67,TATACONSUM,891.77,2023-11-09,887.32
891.77,2023-11,3799221,905.59,TATACONSUM,901.49,2023-11-10,885.49
910.68,2023-11,155860,910.68,TATACONSUM,904.06,2023-11-12,902.78
902.78,2023-11,893778,909.15,TATACONSUM,905.3,2023-11-13,895.96
910.09,2023-11,1544961,920.56,TATACONSUM,918.19,2023-11-15,905.1
921.55,2023-11,1299161,921.55,TATACONSUM,908.75,2023-11-16,906.73
910.68,2023-11,949562,922.53,TATACONSUM,919.42,2023-11-17,909.69
924.01,2023-11,1154678,929.3,TATACONSUM,919.42,2023-11-20,916.8
894.88,2023-11,794469,920.06,TATACONSUM,916.31,2023-11-21,894.88
920.01,2023-11,874578,928.26,TATACONSUM,916.85,2023-11-22,910.93
917.74,2023-11,896369,926.19,TATACONSUM,921.55,2023-11-23,915.62
923.22,2023-11,514808,925.35,TATACONSUM,915.52,2023-11-24,912.66
913.64,2023-11,893726,923.47,TATACONSUM,920.41,2023-11-28,913.4
923.47,2023-11,1035032,926.39,TATACONSUM,922.09,2023-11-29,918.58
920.56,2023-11,2945889,936.56,TATACONSUM,929.2,2023-11-30,920.56
934.29,2023-12,1115523,941.2,TATACONSUM,931.27,2023-12-01,928.21
942.29,2023-12,1099241,944.76,TATACONSUM,935.03,2023-12-04,930.39
935.08,2023-12,782984,942.44,TATACONSUM,938.39,2023-12-05,932.56
942.29,2023-12,970422,951.18,TATACONSUM,940.02,2023-12-06,937.25
940.31,2023-12,921650,947.77,TATACONSUM,945.15,2023-12-07,938.39
948.21,2023-12,641121,950.04,TATACONSUM,934.98,2023-12-08,932.21
938.24,2023-12,470328,941.3,TATACONSUM,938.78,2023-12-11,932.46
941.35,2023-12,723075,950.14,TATACONSUM,937.1,2023-12-12,932.02
936.36,2023-12,888773,947.92,TATACONSUM,945.55,2023-12-13,934.88
949.0,2023-12,1956444,949.0,TATACONSUM,938.78,2023-12-14,932.51
948.16,2023-12,1141316,948.16,TATACONSUM,942.98,2023-12-15,937.25
944.26,2023-12,987646,946.44,TATACONSUM,938.04,2023-12-18,933.69
941.3,2023-12,3849642,965.99,TATACONSUM,954.29,2023-12-19,937.5
963.03,2023-12,4410963,997.6,TATACONSUM,964.31,2023-12-20,954.29
964.02,2023-12,1569398,971.82,TATACONSUM,967.28,2023-12-21,951.23
973.89,2023-12,1473138,986.04,TATACONSUM,980.61,2023-12-22,967.62
980.81,2023-12,1782830,1004.51,TATACONSUM,994.98,2023-12-26,980.61
1002.49,2023-12,1777406,1016.37,TATACONSUM,1014.14,2023-12-27,997.7
1018.1,2023-12,2027205,1037.11,TATACONSUM,1028.22,2023-12-28,1012.71
1041.01,2023-12,4955975,1080.57,TATACONSUM,1073.46,2023-12-29,1034.84
1080.42,2024-01,925046,1080.42,TATACONSUM,1066.84,2024-01-01,1062.79
1073.01,2024-01,2602841,1089.51,TATACONSUM,1084.27,2024-01-02,1066.25
1084.47,2024-01,1087188,1085.61,TATACONSUM,1071.63,2024-01-03,1069.41
1074.74,2024-01,2743090,1114.74,TATACONSUM,1111.73,2024-01-04,1072.82
1111.19,2024-01,1192335,1117.26,TATACONSUM,1109.16,2024-01-05,1103.34
1111.24,2024-01,1701605,1115.14,TATACONSUM,1091.38,2024-01-08,1081.21
1092.42,2024-01,986098,1106.4,TATACONSUM,1098.0,2024-01-09,1092.42
1098.35,2024-01,921671,1103.98,TATACONSUM,1100.27,2024-01-10,1087.48
1103.29,2024-01,1070726,1111.14,TATACONSUM,1105.51,2024-01-11,1098.4
1111.63,2024-01,5944396,1151.24,TATACONSUM,1144.77,2024-01-12,1110.05
1175.39,2024-01,4185461,1176.33,TATACONSUM,1136.67,2024-01-15,1120.82
1138.4,2024-01,1431893,1148.28,TATACONSUM,1129.66,2024-01-16,1127.98
1120.08,2024-01,1257304,1138.8,TATACONSUM,1124.62,2024-01-17,1118.0
1121.02,2024-01,1203255,1135.88,TATACONSUM,1132.72,2024-01-18,1108.72
