open,month,volume,high,Ticker,close,date,low
632.6,2023-10,6894577,632.65,TATAMOTORS,620.45,2023-10-03,618.6
620.8,2023-10,7612709,620.8,TATAMOTORS,613.6,2023-10-04,608.3
619.0,2023-10,7893892,621.35,TATAMOTORS,619.6,2023-10-05,614.65
627.0,2023-10,7922379,627.35,TATAMOTORS,622.45,2023-10-06,620.0
620.8,2023-10,6381189,622.0,TATAMOTORS,617.35,2023-10-09,613.7
620.0,2023-10,9833429,632.5,TATAMOTORS,630.55,2023-10-10,617.6
633.0,2023-10,7701931,637.8,TATAMOTORS,634.0,2023-10-11,632.6
637.0,2023-10,5928732,640.2,TATAMOTORS,636.95,2023-10-12,635.05
633.95,2023-10,28011678,669.0,TATAMOTORS,667.1,2023-10-13,633.0
668.55,2023-10,20005816,677.8,TATAMOTORS,666.2,2023-10-16,661.25
670.0,2023-10,10263992,670.9,TATAMOTORS,655.7,2023-10-17,654.65
658.6,2023-10,14908778,672.25,TATAMOTORS,668.5,2023-10-18,653.8
662.95,2023-10,10633043,672.3,TATAMOTORS,668.8,2023-10-19,658.6
666.65,2023-10,11759568,676.4,TATAMOTORS,663.2,2023-10-20,660.5
663.65,2023-10,8564004,667.25,TATAMOTORS,647.35,2023-10-23,645.0
650.0,2023-10,8229559,651.9,TATAMOTORS,637.85,2023-10-25,636.05
635.0,2023-10,8889373,635.65,TATAMOTORS,626.55,2023-10-26,624.15
630.0,2023-10,10232856,643.95,TATAMOTORS,641.05,2023-10-27,628.45
643.8,2023-10,12786883,643.8,TATAMOTORS,628.5,2023-10-30,621.85
642.0,2023-10,11395766,642.0,TATAMOTORS,628.65,2023-10-31,627.3
630.0,2023-11,8785264,633.8,TATAMOTORS,627.7,2023-11-01,626.3
632.0,2023-11,9934305,638.2,TATAMOTORS,636.45,2023-11-02,630.1
662.0,2023-11,23087856,666.0,TATAMOTORS,647.5,2023-11-03,646.2
652.85,2023-11,10801301,652.85,TATAMOTORS,646.05,2023-11-06,643.2
645.0,2023-11,6588073,649.9,TATAMOTORS,645.0,2023-11-07,643.3
648.0,2023-11,6551864,649.05,TATAMOTORS,642.55,2023-11-08,641.9
644.0,2023-11,10155047,653.65,TATAMOTORS,649.35,2023-11-09,642.7
649.35,2023-11,6425792,652.95,TATAMOTORS,651.05,2023-11-10,644.0
657.95,2023-11,2245583,657.95,TATAMOTORS,653.55,2023-11-12,652.4
653.0,2023-11,3279829,654.0,TATAMOTORS,653.25,2023-11-13,649.3
660.0,2023-11,11324434,673.5,TATAMOTORS,671.55,2023-11-15,656.55
674.0,2023-11,17501373,685.5,TATAMOTORS,680.4,2023-11-16,670.9
682.5,2023-11,9563220,687.65,TATAMOTORS,681.55,2023-11-17,679.6
682.0,2023-11,8324354,686.75,TATAMOTORS,674.3,2023-11-20,670.7
677.0,2023-11,7291057,683.3,TATAMOTORS,681.7,2023-11-21,675.0
683.95,2023-11,9279642,687.35,TATAMOTORS,681.2,2023-11-22,676.05
683.2,2023-11,5885370,685.9,TATAMOTORS,679.95,2023-11-23,677.05
681.4,2023-11,6951690,681.95,TATAMOTORS,673.7,2023-11-24,671.25
677.45,2023-11,16015860,699.45,TATAMOTORS,697.5,2023-11-28,674.25
702.75,2023-11,16122864,714.4,TATAMOTORS,712.35,2023-11-29,694.35
716.3,2023-11,24275245,717.25,TATAMOTORS,706.4,2023-11-30,697.0
708.0,2023-12,10565415,711.0,TATAMOTORS,705.45,2023-12-01,703.0
716.0,2023-12,9348036,717.0,TATAMOTORS,705.6,2023-12-04,704.8
705.9,2023-12,9601509,714.9,TATAMOTORS,708.95,2023-12-05,705.0
709.05,2023-12,12148825,724.8,TATAMOTORS,722.45,2023-12-06,709.0
725.0,2023-12,10451801,727.5,TATAMOTORS,721.95,2023-12-07,716.0
722.05,2023-12,8557203,727.6,TATAMOTORS,714.55,2023-12-08,707.5
717.8,2023-12,6403209,726.5,TATAMOTORS,720.8,2023-12-11,716.55
724.8,2023-12,6461539,724.8,TATAMOTORS,715.4,2023-12-12,713.0
716.0,2023-12,5807736,721.45,TATAMOTORS,720.3,2023-12-13,713.5
724.0,2023-12,6732352,724.7,TATAMOTORS,719.75,2023-12-14,718.6
723.9,2023-12,12082079,734.0,TATAMOTORS,732.4,2023-12-15,721.25
732.9,2023-12,5450397,734.75,TATAMOTORS,730.8,2023-12-18,728.1
732.6,2023-12,4511101,732.6,TATAMOTORS,728.95,2023-12-19,726.0
730.95,2023-12,8107602,733.0,TATAMOTORS,705.25,2023-12-20,703.05
703.0,2023-12,7702232,711.9,TATAMOTORS,708.85,2023-12-21,696.25
716.8,2023-12,12062238,731.0,TATAMOTORS,724.7,2023-12-22,712.0
727.4,2023-12,7229143,727.5,TATAMOTORS,719.55,2023-12-26,716.6
728.0,2023-12,15052800,741.85,TATAMOTORS,740.9,2023-12-27,725.15
742.65,2023-12,14906199,757.95,TATAMOTORS,753.9,2023-12-28,739.05
755.0,2023-12,41170191,802.9,TATAMOTORS,779.95,2023-12-29,754.0
785.0,2024-01,12570717,798.7,TATAMOTORS,790.6,2024-01-01,781.05
800.5,2024-01,13791090,804.0,TATAMOTORS,784.4,2024-01-02,779.0
786.05,2024-01,8559060,790.0,TATAMOTORS,781.45,2024-01-03,776.25
798.0,2024-01,14298444,801.8,TATAMOTORS,795.75,2024-01-04,791.3
799.0,2024-01,11091198,805.9,TATAMOTORS,790.95,2024-01-05,787.1
798.4,2024-01,7668471,800.35,TATAMOTORS,789.1,2024-01-08,787.5
799.95,2024-01,12872757,809.2,TATAMOTORS,799.8,2024-01-09,793.15
800.0,2024-01,9980044,811.0,TATAMOTORS,808.45,2024-01-10,792.65
813.5,2024-01,11075167,817.5,TATAMOTORS,815.65,2024-01-11,808.45
818.15,2024-01,7664094,818.55,TATAMOTORS,816.45,2024-01-12,809.15
820.0,2024-01,4835856,820.4,TATAMOTORS,812.45,2024-01-15,810.3
812.45,2024-01,10159066,827.0,TATAMOTORS,818.85,2024-01-16,812.45
811.0,2024-01,7895439,813.7,TATAMOTORS,805.55,2024-01-17,804.0
807.0,2024-01,11500495,822.95,TATAMOTORS,819.05,2024-01-18,797.0
823.85,2024-01,5706888,826.0,TATAMOTORS,823.55,2024-01-19,819.5
826.0,2024-01,2837388,827.0,TATAMOTORS,818.9,2024-01-20,817.05
824.9,2024-01,9436209,827.6,TATAMOTORS,800.45,2024-01-23,796.3
802.4,2024-01,7217542,812.0,TATAMOTORS,810.9,2024-01-24,788.5
814.0,2024-01,10109720,814.15,TATAMOTORS,811.85,2024-01-25,800.3
811.85,2024-01,12823686,843.8,TATAMOTORS,841.0,2024-01-29,811.05
843.0,2024-01,19734613,885.95,TATAMOTORS,858.85,2024-01-30,842.85
865.2,2024-01,24562392,896.5,TATAMOTORS,884.2,2024-01-31,865.2
900.0,2024-02,14505885,900.15,TATAMOTORS,878.5,2024-02-01,876.3
886.0,2024-02,13003437,895.75,TATAMOTORS,878.75,2024-02-02,876.85
934.0,2024-02,38686871,950.0,TATAMOTORS,926.8,2024-02-05,915.35
936.4,2024-02,12714803,941.3,TATAMOTORS,939.55,2024-02-06,928.4
944.0,2024-02,7913010,944.0,TATAMOTORS,933.8,2024-02-07,928.05
937.0,2024-02,11576253,939.7,TATAMOTORS,924.3,2024-02-08,918.8
926.0,2024-02,7904881,927.4,TATAMOTORS,915.0,2024-02-09,906.05
916.1,2024-02,7286778,925.0,TATAMOTORS,911.6,2024-02-12,908.0
911.6,2024-02,8574218,919.1,TATAMOTORS,906.9,2024-02-13,894.0
900.0,2024-02,6570939,919.95,TATAMOTORS,918.3,2024-02-14,894.35
923.7,2024-02,6430799,927.0,TATAMOTORS,920.55,2024-02-15,916.35
925.0,2024-02,12826164,948.8,TATAMOTORS,938.6,2024-02-16,924.1
942.95,2024-02,4632214,942.95,TATAMOTORS,932.6,2024-02-19,931.05
934.45,2024-02,4733639,934.65,TATAMOTORS,926.35,2024-02-20,920.4
926.35,2024-02,6011018,937.2,TATAMOTORS,921.05,2024-02-21,916.5
924.65,2024-02,6437014,933.85,TATAMOTORS,932.3,2024-02-22,914.6
933.1,2024-02,7047473,939.8,TATAMOTORS,937.4,2024-02-23,929.4
937.1,2024-02,5600234,945.0,TATAMOTORS,936.95,2024-02-26,930.7
936.75,2024-02,12810206,965.0,TATAMOTORS,962.7,2024-02-27,935.5
966.15,2024-02,15219187,976.0,TATAMOTORS,958.05,2024-02-28,950.3
