open,month,volume,high,Ticker,close,date,low
596.6,2023-10,15322196,604.9,SBIN,602.95,2023-10-03,589.6
7780.8,2023-10,944555,7975.5,BAJFINANCE,7967.6,2023-10-03,7755.0
3148.8,2023-10,1007308,3212.5,TITAN,3196.25,2023-10-03,3114.4
441.0,2023-10,7481883,442.9,ITC,439.75,2023-10-03,439.25
3534.2,2023-10,1948148,3534.2,TCS,3513.85,2023-10-03,3480.1
3040.5,2023-10,3254492,3077.45,LT,3073.25,2023-10-03,2995.1
859.32,2023-10,1168848,868.75,TATACONSUM,861.2,2023-10-03,853.49
1164.97,2023-10,8859056,1167.8,RELIANCE,1159.08,2023-10-03,1158.0
1232.5,2023-10,2162636,1256.7,HCLTECH,1238.7,2023-10-03,1222.7
776.55,2023-10,1099773,776.55,JSWSTEEL,770.25,2023-10-03,768.0
8289.0,2023-10,454402,8377.0,ULTRACEMCO,8304.9,2023-10-03,8221.2
198.75,2023-10,10830728,200.0,POWERGRID,199.55,2023-10-03,196.9
1436.05,2023-10,4181867,1437.0,INFY,1434.0,2023-10-03,1420.3
2074.3,2023-10,543387,2086.3,TRENT,2059.1,2023-10-03,2052.0
918.25,2023-10,4338272,928.25,BHARTIARTL,925.3,2023-10-03,916.05
632.6,2023-10,6894577,632.65,TATAMOTORS,620.45,2023-10-03,618.6
406.45,2023-10,2864052,408.1,WIPRO,405.45,2023-10-03,403.6
1220.6,2023-10,1622290,1230.7,TECHM,1216.2,2023-10-03,1212.55
244.35,2023-10,14885044,246.7,NTPC,241.2,2023-10-03,240.55
2490.0,2023-10,1585626,2499.0,HINDUNILVR,2468.9,2023-10-03,2461.8
5138.95,2023-10,268482,5154.95,APOLLOHOSP,5118.95,2023-10-03,5066.0
1597.2,2023-10,3436776,1598.0,M&M,1537.4,2023-10-03,1533.05
1920.46,2023-10,591326,1931.32,GRASIM,1913.84,2023-10-03,1899.1
951.6,2023-10,11131636,951.6,ICICIBANK,940.3,2023-10-03,939.0
2418.0,2023-10,2019899,2424.9,ADANIENT,2387.25,2023-10-03,2372.0
